Characteristic,"Overall (n=58,491)","No stage 2–3 outcome (n=55,459)","Stage 2–3 outcome (n=3,032)","Missing overall, n (%)"
"Age, years",65.0 (53.0–76.0),65.0 (53.0–77.0),65.0 (54.0–75.0),0 (0.0%)
"Body mass index, kg/m²",27.6 (23.6–32.9),27.5 (23.6–32.8),28.9 (24.4–34.6),"1,393 (2.4%)"
"Reference creatinine, mg/dL",1.0 (0.8–1.5),1.0 (0.8–1.5),2.1 (1.0–4.5),0 (0.0%)
"Last creatinine by 12 h, mg/dL",1.0 (0.8–1.5),1.0 (0.7–1.5),2.5 (1.3–4.1),"12,777 (21.8%)"
"Last blood urea nitrogen by 12 h, mg/dL",19.0 (13.0–32.0),19.0 (12.0–31.0),32.0 (20.0–53.0),"13,018 (22.3%)"
"Last heart rate by 12 h, beats/min",84.0 (72.0–97.0),83.0 (72.0–96.0),89.0 (75.0–104.0),898 (1.5%)
"Last systolic blood pressure by 12 h, mmHg",116.0 (103.0–133.0),116.0 (103.0–133.0),112.0 (98.0–129.0),"3,377 (5.8%)"
"Last respiratory rate by 12 h, breaths/min",18.0 (15.0–22.0),18.0 (15.0–22.0),20.0 (16.0–25.0),"5,185 (8.9%)"
"Last temperature by 12 h, °C",37.2 (36.7–37.7),37.2 (36.8–37.7),37.0 (36.2–37.7),"51,414 (87.9%)"
Female sex,"26,304 (45.0%)","25,054 (45.2%)","1,250 (41.2%)",—
Male sex,"32,179 (55.0%)","30,397 (54.8%)","1,782 (58.8%)",—
Other/missing sex,8 (0.0%),8 (0.0%),0 (0.0%),—
KDIGO stage 1 at the 12-h landmark,"2,949 (5.0%)","2,168 (3.9%)",781 (25.8%),0 (0.0%)
