source,term,records,patient_stays
DIAGNOSIS,renal|disorder of kidney|acute renal failure,65313,16375
DIAGNOSIS,renal|disorder of kidney|esrd (end stage renal disease),16401,5030
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease,16171,4731
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia,15023,3227
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia,11349,2372
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|urinary tract infection,10965,3727
DIAGNOSIS,renal|fluid imbalance|hypovolemia,9129,1534
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease|stage 3 (gfr 30-59),8722,2188
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia,8684,2202
DIAGNOSIS,renal|disorder of kidney|chronic renal insufficiency,8403,2294
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|lactic acidosis,7238,1792
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis,6708,1752
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia,6061,1821
DIAGNOSIS,renal|fluid imbalance|hypervolemia,5608,722
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia,5374,814
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to sepsis,5236,840
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to hypovolemia/decreased circulating volume,5118,1056
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia,4784,880
DIAGNOSIS,renal|electrolyte imbalance|hypophosphatemia,4581,910
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease|stage 4 (gfr 15-29),3640,843
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|moderate (125 - 135 meq/dl),3484,789
DIAGNOSIS,renal|fluid imbalance|third spacing,3290,314
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection,3167,1257
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease|stage 2 (gfr 60-89),3024,1030
DIAGNOSIS,renal|disorder of kidney|acute renal failure|acute tubular necrosis,2957,479
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|moderate ( 2.8 - 3.5 meq/dl),2894,714
DIAGNOSIS,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- acute renal failure,2831,694
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|severe (> 6.1 meq/dl),2535,852
DIAGNOSIS,renal|abnormality of urine quantity or quality|oliguria,2498,452
DIAGNOSIS,renal|fluid imbalance|dehydration,2483,846
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|moderate (146 - 155 meq/dl),2286,354
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to rhabdomyolysis,2025,489
DIAGNOSIS,renal|electrolyte imbalance|hyperchloremia,1954,270
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|severe (< 125 meq/dl),1871,583
DIAGNOSIS,renal|disorder of kidney|acute renal failure|etiology unknown,1866,379
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|obstructive uropathy,1837,505
DIAGNOSIS,renal|electrolyte imbalance|hyperphosphatemia,1808,255
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|increased anion gap,1758,379
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|severe,1557,389
DIAGNOSIS,renal|abnormality of urine quantity or quality|hematuria,1538,480
DIAGNOSIS,hematology|bleeding and red blood cell disorders|anemia|anemia of renal disease,1441,238
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|moderate ( 5.5 -6.1 meq/dl),1397,407
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|nephrolithiasis,1383,361
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis,1288,289
DIAGNOSIS,transplant|s/p kidney transplant|s/p kidney transplant,1273,255
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|moderate,1163,251
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to hepatorenal syndrome,1111,161
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|ketoacidosis/diabetic,969,303
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|normal anion gap,954,199
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency,948,189
DIAGNOSIS,renal|disorder of kidney|chronic kidney disease|stage 5 (gfr <14),885,229
DIAGNOSIS,renal|disorder of kidney|acute renal failure|suspected,878,190
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|severe (> 155 meq/dl),836,182
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis,819,190
DIAGNOSIS,infectious diseases|systemic/other infections|sepsis|sepsis with single organ dysfunction- acute renal failure,815,153
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|upper urinary tract infection,814,316
DIAGNOSIS,renal|electrolyte imbalance|hypokalemia|severe ( < 2.8 meq/dl),797,249
DIAGNOSIS,renal|abnormality of urine quantity or quality|anuria,795,134
DIAGNOSIS,renal|electrolyte imbalance|hypochloremia,778,200
DIAGNOSIS,renal|post gu surgery|s/p nephrectomy,703,235
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to renal ischemia,692,145
DIAGNOSIS,gastrointestinal|hepatic disease|hepatorenal syndrome,678,145
DIAGNOSIS,oncology|gu tumors|renal cell ca,672,195
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|due to bicarbonate loss,629,116
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to obstruction,602,151
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|with in-dwelling catheter,578,105
DIAGNOSIS,burns/trauma|trauma - abdomen|renal trauma,565,114
DIAGNOSIS,renal|electrolyte imbalance|hypermagnesemia,557,125
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|likely bacterial,544,163
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia|etiology unknown,505,119
DIAGNOSIS,renal|abnormality of urine quantity or quality|oliguria|probable hypovolemia,471,91
DIAGNOSIS,cardiovascular|ventricular disorders|acute pulmonary edema|due to renal dysfunction,459,133
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|moderate,407,60
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder,365,57
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents,357,93
DIAGNOSIS,"renal|fluid imbalance|volume depletion, unspecified",345,75
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|without in-dwelling catheter,345,108
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|etiology unknown,321,79
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to renal disease,316,104
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|uremic acidosis,316,64
DIAGNOSIS,renal|electrolyte imbalance|hypernatremia|due to volume depletion,309,62
DIAGNOSIS,renal|post gu surgery|s/p cystectomy,303,129
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia,297,89
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|etiology unknown,295,55
DIAGNOSIS,infectious diseases|gu infections|acute pyelonephritis|with renal calculi,290,81
DIAGNOSIS,renal|abnormality of urine quantity or quality|oliguria|suspect atn,283,47
DIAGNOSIS,cardiovascular|vascular disorders|hypertension|with renal failure,281,65
DIAGNOSIS,renal|electrolyte imbalance|hypomagnesemia|due to etoh abuse,280,67
DIAGNOSIS,renal|electrolyte imbalance|hyponatremia|due to cirrhosis,280,64
DIAGNOSIS,endocrine|adrenal disorders|adrenal insufficiency|due to chronic steroid administration,269,39
DIAGNOSIS,renal|disorder of acid base|respiratory alkalosis,258,50
DIAGNOSIS,renal|fluid imbalance|hypervolemia|in the absence of chf,258,57
DIAGNOSIS,renal|disorder of kidney|transplant rejection,249,50
DIAGNOSIS,renal|fluid imbalance|hypervolemia|in the absence of renal failure and chf,248,29
DIAGNOSIS,cardiovascular|ventricular disorders|low cardiac output state|with renal insufficiency,242,44
DIAGNOSIS,cardiovascular|shock / hypotension|hypotension / pressor dependent|r/o adrenal insufficiency,223,52
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|known bacterial,216,63
DIAGNOSIS,renal|disorder of acid base|respiratory acidosis|acute,210,62
DIAGNOSIS,renal|electrolyte imbalance|hyperchloremia|due to normal saline administration,206,41
DIAGNOSIS,renal|electrolyte imbalance|hypercalcemia|due to malignancy,206,24
DIAGNOSIS,renal|abnormality of urine quantity or quality|polyuria,199,43
DIAGNOSIS,renal|disorder of acid base|mixed acid base disorder|metabolic acidosis,189,46
DIAGNOSIS,renal|disorder of kidney|acute renal failure|unstable during hemodialysis,189,45
DIAGNOSIS,burns/trauma|trauma - skeletal|rhabdomyolysis|with renal insufficiency,187,38
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|upper urinary tract infection|likely bacterial,184,83
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|drug induced,178,32
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|due to diuretics,178,33
DIAGNOSIS,renal|post gu surgery|s/p prostatectomy,175,63
DIAGNOSIS,transplant|s/p kidney transplant|hypertension - kidney transplant,173,36
