lab_name,unit_variants,measurements,patient_stays,coverage,p01,median,p99,observed_min,observed_max
potassium,mmol/L,82604,47212,0.8071669145680532,2.6,4.1,6.4,1.5,12.4
sodium,mmol/L,77022,46095,0.7880699594809458,116.0,139.0,157.0,1.37,195.0
creatinine,mg/dL,67989,45714,0.7815561368415653,0.37,1.03,7.85,0.1,31.31
chloride,mmol/L,69363,45544,0.778649706792498,81.0,105.0,124.0,52.0,160.0
bun,mg/dL,67373,45473,0.7774358448308287,4.0,20.0,118.0,0.0,285.0
glucose,mg/dL,71982,45467,0.7773332649467439,63.0,139.0,613.0,12.0,1791.0
calcium,mg/dL,65254,44198,0.7556376194628234,6.0,8.2,10.4,0.89,20.0
bicarbonate,mmol/L,63936,42834,0.7323177924808945,8.0,23.0,37.0,2.0,77.0
hgb,g/dL,66875,42529,0.7271033150399207,6.0,10.8,16.6,0.9,96.0
hct,%,64434,42492,0.7264707390880648,18.1,32.5,49.1,3.1,65.3
platelets x 1000,K/mcL,54421,40460,0.691730351678036,30.0,181.0,512.0,1.0,1379.0
wbc x 1000,K/mcL,53662,40396,0.6906361662477988,1.8,11.5,39.1,0.0,657.46
rbc,M/mcL,53523,40310,0.6891658545759176,2.01,3.69,5.59,0.33,8.16
mcv,fL,52596,39638,0.6776769075584278,71.0,90.0,107.0,0.0,138.8
mchc,g/dL,52561,39626,0.6774717477902583,29.0,33.2,36.4,24.7,48.8
mch,pg,49912,37682,0.6442358653468054,21.8,30.0,36.0,12.3,45.8
rdw,%,49809,37544,0.6418765280128567,12.1,14.5,23.8,0.0,41.6
anion gap,[missing],54880,36971,0.6320801490827649,3.0,11.0,28.0,-7.0,47.0
bedside glucose,mg/dL,141301,34914,0.5969123454890496,59.0,142.0,441.0,10.0,682.0
magnesium,mg/dL,39022,29332,0.5014788599955549,1.0,1.9,3.6,0.4,41.3
mpv,fL,37858,28608,0.4891008873159973,6.8,9.7,12.8,5.1,16.0
-lymphs,%,28500,23792,0.40676343369065326,1.0,9.0,45.0,0.0,100.0
-monos,%,28319,23651,0.4043528064146621,0.5,6.4,18.1,0.0,78.0
fio2,%,42128,22656,0.3873416423039442,0.4,50.0,100.0,0.0,10000.0
pao2,mm Hg,44111,22344,0.3820074883315382,38.0,106.0,465.5,9.0,1143.8
paco2,mm Hg,43680,22111,0.3780239694995811,19.0,40.1,90.8,7.9,174.0
albumin,g/dL,26236,22107,0.3779555829101913,1.3,2.9,4.4,0.2,7.4
ph,[missing],43366,21979,0.375767212049717,7.04,7.35,7.551,5.0,7410.0
-eos,%,25726,21705,0.3710827306765143,0.0,0.0,6.4,0.0,50.0
hco3,mmol/L,41156,21185,0.36219247405583765,8.0,22.3,42.0,-3.0,147.0
-basos,%,25044,21150,0.3615940913986767,0.0,0.0,1.3,0.0,11.0
-polys,%,24957,20889,0.35713186644099093,21.7,82.0,96.0,0.0,100.0
ast (sgot),Units/L,24001,20857,0.3565847737258724,9.0,36.0,3447.0,3.0,32960.0
alt (sgpt),Units/L,23785,20697,0.35384931015027954,6.0,29.0,2038.0,2.0,13831.0
total protein,g/dL,23732,20663,0.35326802414046604,3.4,5.9,8.2,1.0,13.4
pt - inr,ratio,25558,20629,0.3526867381306526,0.9,1.3,5.5,0.7,17.4
total bilirubin,mg/dL,23436,20374,0.3483270930570515,0.2,0.7,12.4,0.0,60.2
alkaline phos.,Units/L,23368,20344,0.34781419363662786,26.0,77.0,462.0,10.0,2205.0
pt,sec,24579,19932,0.3407703749294763,10.1,15.2,54.6,7.6,229.2
phosphate,mg/dL,24873,19033,0.3254004889641141,0.8,3.2,9.0,0.0,17.1
o2 sat (%),%,35215,18394,0.3144757313090903,60.6,97.0,100.0,-6.0,104.0
lactate,mmol/L,26678,17012,0.29084816467490726,0.5,1.9,12.9,0.1,29.0
base excess,mEq/L,32492,16999,0.29062590825939033,-20.0,-2.0,16.0,-36.0,39.5
ptt,sec,19469,15478,0.264621907643911,21.0,32.9,149.9,1.13,324.5
