feature,measurements,patient_stays,coverage,outside_broad_qc_bounds,plausible_p01,plausible_median,plausible_p99
heart_rate,7871016,57593,0.9846472106819852,873,49.0,85.0,137.0
sao2,7398760,57037,0.9751414747568002,1071,88.0,98.0,100.0
respiratory_rate,7083434,53317,0.911541946624267,68662,9.0,19.0,40.0
invasive_mean_bp,1986238,16572,0.28332563984202697,11292,51.0,76.0,124.0
invasive_systolic_bp,1971174,16470,0.28158178181258653,2379,73.0,116.0,184.0
invasive_diastolic_bp,1971156,16467,0.2815304918705442,4173,34.0,57.0,98.0
cvp,1197177,10793,0.18452411482108358,68276,-2.0,10.0,31.0
temperature,856946,7220,0.12343779384862628,16942,32.6,37.1,39.2
pa_mean,632226,4947,0.0845771144278607,853,10.0,22.0,45.0
pa_diastolic,630216,4922,0.08414969824417431,1024,5.0,16.0,34.0
pa_systolic,630237,4918,0.0840813116547845,488,15.0,32.0,66.0
etco2,240172,2750,0.0470157802055017,6624,13.0,32.0,55.0
icp,51056,533,0.009112513036193603,848,-6.0,8.0,46.0
