feature,measurements,patient_stays,coverage,outside_broad_qc_bounds,plausible_p01,plausible_median,plausible_p99
noninvasive_mean_bp,1641565,55129,0.9425210716178557,230,44.0,77.0,133.0
noninvasive_diastolic_bp,1631310,55116,0.9422988152023388,2104,32.0,62.0,113.0
noninvasive_systolic_bp,1631078,55115,0.9422817185549913,387,68.0,114.0,186.0
svr,361657,2478,0.0423654921269939,872,457.0,979.0,2353.0
cardiac_output,179052,2474,0.042297105537604074,2656,2.5,5.1999998,10.2
svri,84166,2053,0.03509941700432545,744,779.0,1846.0,4154.0
cardiac_index,18854,1965,0.0335949120377494,2937,1.3,2.54,4.6700001
paop,8434,946,0.016173428390692586,1,5.0,16.0,32.0
pvr,5105,920,0.01572891555965875,91,0.0,96.0,551.0
pvri,5081,910,0.0155579490861842,90,0.0,190.0,879.0
