feature,patient_stays,main_cohort,coverage
potassium,47212,58491,0.8071669145680532
sodium,46095,58491,0.7880699594809458
creatinine,45714,58491,0.7815561368415653
chloride,45544,58491,0.778649706792498
bun,45473,58491,0.7774358448308287
glucose_serum,45467,58491,0.7773332649467439
calcium,44198,58491,0.7556376194628234
bicarbonate,42834,58491,0.7323177924808945
hgb,42529,58491,0.7271033150399207
hct,42492,58491,0.7264707390880648
platelets,40460,58491,0.691730351678036
wbc,40379,58491,0.6903455232428921
anion_gap,36971,58491,0.6320801490827649
glucose_bedside,34914,58491,0.5969123454890496
magnesium,29332,58491,0.5014788599955549
albumin,22106,58491,0.3779384862628439
ast,20857,58491,0.3565847737258724
alt,20697,58491,0.35384931015027954
inr,20629,58491,0.3526867381306526
bilirubin_total,20374,58491,0.3483270930570515
phosphate,19032,58491,0.32538339231676666
lactate,17012,58491,0.29084816467490726
