feature,patient_stays,main_cohort,coverage,total_valid_measurements,qc_observed_min,qc_observed_max
heart_rate,57593,58491,0.9846472106819852,7870143,20.0,248.0
sao2,57037,58491,0.9751414747568002,7398026,30.0,100.0
noninvasive_mean_bp,55128,58491,0.9425039749705083,1641335,20.0,250.0
noninvasive_diastolic_bp,55115,58491,0.9422817185549913,1631015,10.0,200.0
noninvasive_systolic_bp,55114,58491,0.9422646219076439,1631038,30.0,287.0
respiratory_rate,53306,58491,0.9113538835034449,7022274,2.0,80.0
invasive_mean_bp,16474,58491,0.2816501684019764,1974946,20.0,250.0
invasive_diastolic_bp,16431,58491,0.2809150125660358,1967752,10.0,200.0
invasive_systolic_bp,16421,58491,0.28074404609256126,1969067,30.0,300.0
temperature_c,7077,58491,0.1209929732779402,840004,25.0,44.3
