feature,cohort_rows,positive_patients,prevalence,missing_values,nonbinary_values
x_hx_cad,58491,8059,0.13778188097314117,0,0
x_hx_cerebrovascular,58491,5447,0.09312543810158828,0,0
x_hx_chf,58491,8208,0.14032928142791198,0,0
x_hx_chronic_kidney_non_esrd,58491,4790,0.08189294079431024,0,0
x_hx_chronic_liver,58491,1582,0.02704689610367407,0,0
x_hx_chronic_pulmonary,58491,8090,0.13831187704091227,0,0
x_hx_diabetes,58491,17319,0.29609683541057596,0,0
x_hx_hypertension,58491,30244,0.517071002376434,0,0
x_hx_immunosuppression,58491,2005,0.0342787779316476,0,0
x_hx_malignancy,58491,8184,0.13991896189157307,0,0
x_hx_past_history_documented,58491,57257,0.9789027371732403,0,0
x_resp_high_flow_oxygen,58491,0,0.0,0,0
x_resp_invasive_airway,58491,3708,0.06339436836436375,0,0
x_resp_invasive_mechanical_ventilation,58491,17077,0.29195944675249186,0,0
x_resp_noninvasive_ventilation,58491,3846,0.06575370569831256,0,0
x_resp_oxygen_therapy,58491,10565,0.1806260792258638,0,0
x_resp_respiratory_documented_uncertain,58491,1848,0.03159460429809714,0,0
x_resp_tracheostomy,58491,281,0.004804157904634901,0,0
x_tx_antihypertensive_infusion,58491,2201,0.03762972081174882,0,0
x_tx_any_vasopressor,58491,8374,0.14316732488758954,0,0
x_tx_bicarbonate_infusion,58491,20,0.00034193294694910326,0,0
x_tx_dexmedetomidine,58491,1705,0.029149783727411054,0,0
x_tx_dobutamine,58491,786,0.013437964815099759,0,0
x_tx_dopamine,58491,1193,0.02039630028551401,0,0
x_tx_epinephrine,58491,1015,0.01735309705766699,0,0
x_tx_heparin_infusion,58491,2110,0.0360739259031304,0,0
x_tx_insulin_infusion,58491,5661,0.09678412063394369,0,0
x_tx_loop_diuretic_infusion,58491,224,0.003829649005829957,0,0
x_tx_midazolam,58491,1493,0.02552529448975056,0,0
x_tx_milrinone,58491,611,0.010446051529295106,0,0
x_tx_norepinephrine,58491,6126,0.10473406165051033,0,0
x_tx_phenylephrine,58491,1737,0.02969687644252962,0,0
x_tx_propofol,58491,6322,0.10808500453061155,0,0
x_tx_vasopressin,58491,997,0.017045357405412798,0,0
