probability_type,requested_bins,actual_bins,risk_group,patients,events,mean_predicted_risk,observed_event_rate,minimum_predicted_risk,maximum_predicted_risk
raw,10,10,0,5850,28,0.007162496171299177,0.004786324786324786,0.000492249004108977,0.009568885532241236
raw,10,10,1,5849,50,0.011308084825193031,0.008548469823901521,0.009569330349604827,0.012978470423348163
raw,10,10,2,5849,61,0.014565145940216687,0.010429133185159856,0.012978783403075027,0.016168192351580186
raw,10,10,3,5849,87,0.017822674610077995,0.014874337493588647,0.01616893092635963,0.019550319063990896
raw,10,10,4,5849,89,0.021508249528387573,0.015216276286544709,0.0195533626867942,0.02363056261316849
raw,10,10,5,5849,123,0.02613801577825317,0.021029235766797744,0.023630855138401116,0.028908236906967078
raw,10,10,6,5849,146,0.0323838050117224,0.02496153188579244,0.028909715931610822,0.03640636101245226
raw,10,10,7,5849,210,0.042504714178194916,0.035903573260386394,0.036407432007287396,0.0502909790719449
raw,10,10,8,5849,494,0.0669423502333743,0.08445888186014704,0.05029110063530318,0.09527142129773267
raw,10,10,9,5849,1744,0.274409477171902,0.2981706274576851,0.0952749717777217,0.9998253423257867
platt_calibrated,10,10,0,5850,28,0.008157329676984917,0.004786324786324786,0.0006470435190118852,0.010748466779881448
platt_calibrated,10,10,1,5849,50,0.012596081481554245,0.008548469823901521,0.010748575467878085,0.014361764218756009
platt_calibrated,10,10,2,5849,59,0.016020684297232152,0.010087194392203796,0.014361891334083427,0.01769080706756269
platt_calibrated,10,10,3,5849,90,0.019401251243222697,0.015387245683022738,0.01769126269721385,0.021179669977937247
platt_calibrated,10,10,4,5849,88,0.023185977770339743,0.015045306890066678,0.02118065706518828,0.02535395687312832
platt_calibrated,10,10,5,5849,123,0.027900519674877847,0.021029235766797744,0.025355024467264245,0.030700008874334262
platt_calibrated,10,10,6,5849,144,0.03419073414056231,0.024619593092836383,0.030700765818606826,0.038170961251498985
platt_calibrated,10,10,7,5849,216,0.04424618767667613,0.03692938963925457,0.03817354396965829,0.05183291473774085
platt_calibrated,10,10,8,5849,490,0.06806353113988885,0.08377500427423491,0.05183582084180968,0.09513846593501724
platt_calibrated,10,10,9,5849,1744,0.2640478329191043,0.2981706274576851,0.09515131504533654,0.9997085997078141
