probability_type,requested_bins,actual_bins,risk_group,patients,events,mean_predicted_risk,observed_event_rate,minimum_predicted_risk,maximum_predicted_risk
raw,10,10,0,5850,17,0.00635562067031542,0.002905982905982906,0.0025900108739733696,0.007853652350604534
raw,10,10,1,5849,31,0.008985757185593642,0.005300051290818944,0.007854131050407887,0.010109213180840015
raw,10,10,2,5849,51,0.011151319594184727,0.008719439220379552,0.01010928489267826,0.012204539030790329
raw,10,10,3,5849,48,0.013289178122273825,0.008206531030945461,0.012204797938466072,0.014427551999688148
raw,10,10,4,5849,98,0.015736361144400038,0.016755000854846984,0.014428033493459225,0.017165564000606537
raw,10,10,5,5849,91,0.018934699479833814,0.015558215079500769,0.017165733501315117,0.021008940413594246
raw,10,10,6,5849,131,0.023770585593430378,0.022396990938621988,0.021009592339396477,0.027089960873126984
raw,10,10,7,5849,210,0.03273158479570466,0.035903573260386394,0.027092263102531433,0.04082311689853668
raw,10,10,8,5849,432,0.06780409060162568,0.07385877927850915,0.040850359946489334,0.1254361867904663
raw,10,10,9,5849,1923,0.3083540774559563,0.3287741494272525,0.1254400610923767,0.8803189992904663
platt_calibrated,10,10,0,5850,17,0.005387387827365126,0.002905982905982906,0.002090839669108391,0.006738610100001097
platt_calibrated,10,10,1,5849,32,0.007792268498361386,0.005471020687296974,0.0067386990413069725,0.00883400533348322
platt_calibrated,10,10,2,5849,50,0.00981413267086634,0.008548469823901521,0.008835800923407078,0.01080483291298151
platt_calibrated,10,10,3,5849,49,0.01183920486924597,0.008377500427423492,0.010805311612784863,0.012928478419780731
platt_calibrated,10,10,4,5849,97,0.01418545158080926,0.016584031458368953,0.012928862124681473,0.015562550164759159
platt_calibrated,10,10,5,5849,91,0.017303729280644727,0.015558215079500769,0.015562886372208595,0.019349826499819756
platt_calibrated,10,10,6,5849,132,0.022078233151471314,0.02256796033510002,0.01935039646923542,0.025389647111296654
platt_calibrated,10,10,7,5849,209,0.03111659538476594,0.03573260386390836,0.025390630587935448,0.03939857333898544
platt_calibrated,10,10,8,5849,432,0.06804341851778369,0.07385877927850915,0.03940844163298607,0.13058289885520935
platt_calibrated,10,10,9,5849,1923,0.3334158977130923,0.3287741494272525,0.13064008951187134,0.9077064990997314
