probability_type,requested_bins,actual_bins,risk_group,patients,events,mean_predicted_risk,observed_event_rate,minimum_predicted_risk,maximum_predicted_risk
raw,10,10,0,5850,28,0.0013954628285456194,0.004786324786324786,0.0,0.002662300238461229
raw,10,10,1,5849,36,0.003932862587070755,0.006154898273209096,0.002662961559513284,0.005266799359140558
raw,10,10,2,5849,55,0.006744597924999994,0.009403316806291674,0.005268306048284696,0.008341080284686424
raw,10,10,3,5849,66,0.010160299932341164,0.01128398016755001,0.008342428468274616,0.012189992872823671
raw,10,10,4,5849,90,0.014617723013581576,0.015387245683022738,0.012191400378747172,0.01726202543683736
raw,10,10,5,5849,102,0.02056451347605535,0.017438878440759104,0.017263728747056364,0.024296916181182786
raw,10,10,6,5849,130,0.029247640697231046,0.022226021542143957,0.024299457701076346,0.03507079438319813
raw,10,10,7,5849,203,0.04439078815224594,0.03470678748504018,0.035073921762423355,0.057113584590145115
raw,10,10,8,5849,438,0.08891195461486152,0.07488459565737733,0.05712511494746087,0.1482659452671473
raw,10,10,9,5849,1884,0.31504107559763134,0.3221063429646093,0.14828496134672636,0.7872820775154665
platt_calibrated,10,10,0,5850,28,0.0011713196430338752,0.004786324786324786,6.579495009491245e-07,0.002266953968557396
platt_calibrated,10,10,1,5849,36,0.0033895015339368813,0.006154898273209096,0.002267117052087332,0.00457810848993133
platt_calibrated,10,10,2,5849,55,0.005907581931066879,0.009403316806291674,0.004578143864343748,0.00734821942840702
platt_calibrated,10,10,3,5849,66,0.009012396002465844,0.01128398016755001,0.007348332911768271,0.010870625039248212
platt_calibrated,10,10,4,5849,88,0.013114638581790614,0.015045306890066678,0.01087255584705326,0.015568608113081217
platt_calibrated,10,10,5,5849,104,0.01865155934272976,0.017780817233715166,0.015570041294019484,0.02216187595639733
platt_calibrated,10,10,6,5849,131,0.02683055390683548,0.022396990938621988,0.022162916698377954,0.03236378968246403
platt_calibrated,10,10,7,5849,202,0.04129253098667106,0.03453581808856215,0.03236425916856101,0.05356898463882406
platt_calibrated,10,10,8,5849,436,0.08478242722423798,0.07454265686442127,0.053571396744152615,0.14370418381168776
platt_calibrated,10,10,9,5849,1886,0.31392579001000276,0.3224482817575654,0.14373000735896774,0.7957363024392778
