probability_type,requested_bins,actual_bins,risk_group,patients,events,mean_predicted_risk,observed_event_rate,minimum_predicted_risk,maximum_predicted_risk
raw,10,10,0,5850,22,0.008045179886371906,0.0037606837606837607,0.003195689315427014,0.009692039932884585
raw,10,10,1,5849,49,0.010839085281610365,0.008377500427423492,0.009693235938118036,0.011907789995361706
raw,10,10,2,5849,38,0.012909938532157399,0.006496837066165157,0.011907932245211156,0.013870830792437616
raw,10,10,3,5849,67,0.014883246220054382,0.011454949564028039,0.013871165060810643,0.015939496112471946
raw,10,10,4,5849,71,0.01708761582685798,0.01213882714994016,0.015939570049865393,0.01832172913027899
raw,10,10,5,5849,100,0.01982247972070013,0.017096939647803042,0.018322072012439128,0.021493494338560962
raw,10,10,6,5849,142,0.023808020949188893,0.02427765429988032,0.021495952063102532,0.026574986008468648
raw,10,10,7,5849,212,0.031143441354071006,0.03624551205334245,0.026575028586039287,0.037529499843763525
raw,10,10,8,5849,437,0.06252435857268347,0.0747136262608993,0.03753446778056558,0.12340076938907608
raw,10,10,9,5849,1894,0.3031926115920616,0.32381603692938965,0.12341337034740411,0.8941305995656688
platt_calibrated,10,10,0,5850,22,0.006778368689273677,0.0037606837606837607,0.002472142578631806,0.008288732659651629
platt_calibrated,10,10,1,5849,49,0.009360245728876369,0.008377500427423492,0.008288979269651827,0.01036457160177529
platt_calibrated,10,10,2,5849,37,0.011315458759054988,0.006325867669687126,0.010365661236272887,0.012233742812751688
platt_calibrated,10,10,3,5849,69,0.013206388360888053,0.0117968883569841,0.012234170349017123,0.01422261557197905
platt_calibrated,10,10,4,5849,69,0.01534217965531122,0.0117968883569841,0.014222657451074396,0.01654663431374513
platt_calibrated,10,10,5,5849,102,0.018028180634491603,0.017438878440759104,0.016547098435670125,0.0196798998198356
platt_calibrated,10,10,6,5849,139,0.021997726046688548,0.023764746110446232,0.019680966317028977,0.02477980049138905
platt_calibrated,10,10,7,5849,214,0.029458007401166744,0.03658745084629851,0.024780668288754946,0.0360452271708842
platt_calibrated,10,10,8,5849,437,0.06308549558357032,0.0747136262608993,0.03604683418762632,0.13091985826761277
platt_calibrated,10,10,9,5849,1894,0.335240566580788,0.32381603692938965,0.13092225450717723,0.9276827932276757
