model_a,model_b,probability_type,metric,point_estimate,bootstrap_replicates,bootstrap_mean,bootstrap_standard_error,ci_95_lower,ci_95_upper,positive_value_favors,statistical_direction,bootstrap_unit,paired_resampling,bootstrap_seed
xgboost,catboost,raw,delta_auroc_a_minus_b,0.004756630810628604,2000,0.004733101269517125,0.0014034521101888,0.001997256125830374,0.007493723102725578,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,catboost,raw,delta_auprc_a_minus_b,0.006331548223189931,2000,0.0064868998057452595,0.004160528618134119,-0.0014867360874473838,0.014591319434774278,xgboost,confidence_interval_includes_zero,hospital,True,20260723
xgboost,catboost,raw,brier_improvement_b_minus_a,0.00027253990693971303,2000,0.0002774548283591751,0.00010029402441986519,7.263101658061179e-05,0.0004632597405702899,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,catboost,raw,log_loss_improvement_b_minus_a,0.001746397825629853,2000,0.0017538506101732985,0.000327180570817153,0.001075926463300699,0.00237675993638695,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,catboost,platt_calibrated,delta_auroc_a_minus_b,0.004678085657992326,2000,0.0046545449137228075,0.0013955687016746646,0.0019535351470908514,0.007450161224299354,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,catboost,platt_calibrated,delta_auprc_a_minus_b,0.0057750121066055815,2000,0.005962273774725157,0.0041283352684810355,-0.0019366560188264965,0.014188810739006864,xgboost,confidence_interval_includes_zero,hospital,True,20260723
xgboost,catboost,platt_calibrated,brier_improvement_b_minus_a,0.0002791744536124671,2000,0.0002841471705040328,0.00010810141326727034,6.63642235288699e-05,0.0004838503110534729,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,catboost,platt_calibrated,log_loss_improvement_b_minus_a,0.001688262801063184,2000,0.0016957643148598795,0.00034970630353609944,0.0009710917698111284,0.002372801611239992,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,random_forest,raw,delta_auroc_a_minus_b,0.008358411483802675,2000,0.008386945098128974,0.001801684537988815,0.004912001630876383,0.01202918102373288,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,random_forest,raw,delta_auprc_a_minus_b,0.009929832305893727,2000,0.010131106786056627,0.00498627401094008,0.0005400326629480119,0.02019373440258974,xgboost,statistically_favors_xgboost,hospital,True,20260723
xgboost,random_forest,raw,brier_improvement_b_minus_a,0.00035694381384165225,2000,0.0003590149720181108,0.00010982005027838543,0.00014382762039362798,0.0005719753297328442,xgboost,statistically_favors_xgboost,hospital,True,20260723
