probability_type,requested_bins,actual_bins,risk_group,patients,events,mean_predicted_risk,observed_event_rate,minimum_predicted_risk,maximum_predicted_risk
raw,10,10,0,5850,74,0.01586331484223445,0.01264957264957265,0.00463383317332666,0.018258480568962194
raw,10,10,1,5849,90,0.01972441350205437,0.015387245683022738,0.018259105125511706,0.021068257251316905
raw,10,10,2,5849,82,0.022280412051942807,0.014019490511198496,0.021068581338842172,0.023477162026808863
raw,10,10,3,5849,102,0.02466238710002342,0.017438878440759104,0.023477569012092556,0.025881773391168643
raw,10,10,4,5849,113,0.02720369728578535,0.019319541802017438,0.025883657665504795,0.028564646999475245
raw,10,10,5,5849,114,0.03011483092647481,0.01949051119849547,0.02856582448962625,0.03175273391786912
raw,10,10,6,5849,121,0.033753796407741316,0.020687296973841682,0.03175296407247461,0.03606243416000543
raw,10,10,7,5849,192,0.03946856135343263,0.032826124123781844,0.036062636548355335,0.04388349839356555
raw,10,10,8,5849,401,0.05515574059046149,0.06855872798769021,0.04388842946792093,0.07892761103782442
raw,10,10,9,5849,1743,0.2518545837953472,0.29799965806120704,0.07893491453628601,0.9999611697541828
platt_calibrated,10,10,0,5850,77,0.015707031670103243,0.013162393162393163,0.004534335687229693,0.018077846882306094
platt_calibrated,10,10,1,5849,92,0.019546935703453807,0.015729184475978798,0.01808190922473711,0.020870548945864535
platt_calibrated,10,10,2,5849,78,0.022079468674656037,0.013335612925286374,0.0208717305705631,0.02328124080912072
platt_calibrated,10,10,3,5849,100,0.024451462044666448,0.017096939647803042,0.02328145316284368,0.0256681260313516
platt_calibrated,10,10,4,5849,114,0.02697878021282651,0.01949051119849547,0.025668215775738232,0.028338960995819513
platt_calibrated,10,10,5,5849,113,0.029876496798392004,0.019319541802017438,0.02833915596231418,0.031504311059417395
platt_calibrated,10,10,6,5849,126,0.03351035110990403,0.021542143956231833,0.03150441156357276,0.0358095360678674
platt_calibrated,10,10,7,5849,186,0.039207190576551885,0.03180030774491366,0.03580968307067588,0.04361654337444113
platt_calibrated,10,10,8,5849,403,0.05489664238476174,0.06890066678064627,0.043616762702544214,0.07871246153032095
platt_calibrated,10,10,9,5849,1743,0.2523843305951792,0.29799965806120704,0.07873086723564221,0.9999575977175347
