pooled_rank,source_predictor,transformed_column_count,pooled_mean_absolute_grouped_shap,pooled_mean_signed_grouped_shap
1,x_reference_creatinine,1,0.49447381702424315,-0.2688647839204108
2,x_lab_creatinine_last,2,0.3407313798775357,-0.22451216113623754
3,x_stage1_at_landmark,1,0.2910371051769716,-0.13050557804802956
4,x_vital_sao2_sd,2,0.09482898370463663,-0.02037804968908849
5,x_unit_admit_source,16,0.08301920268046814,-0.000889197019808159
6,x_vital_respiratory_rate_mean,2,0.07392199633105838,-0.012389370909419111
7,x_vital_heart_rate_last,2,0.07346504535040607,-0.01228840104233073
8,x_lab_bun_first,2,0.06654345297956948,0.035069421297228384
9,x_bmi,2,0.06392855462743086,-0.006710678045552275
10,x_lab_bun_min,2,0.05912381365722071,0.04050429945929247
11,x_vital_sao2_mean,2,0.054265007029607376,-0.006475610242957671
12,x_vital_noninvasive_systolic_bp_last,2,0.05125911261722831,-0.009164028885112764
13,x_vital_noninvasive_systolic_bp_sd,2,0.05024295860221971,-0.010556004669362733
14,x_vital_respiratory_rate_last,2,0.04776290177504574,-0.007536394536611447
15,x_lab_anion_gap_last,2,0.04667257245661288,-0.01626005775474645
16,x_lab_creatinine_first,2,0.045485938591714015,0.00339644938715817
17,x_vital_heart_rate_sd,2,0.044142944140313285,-0.0068476814590201635
18,x_vital_respiratory_rate_min,2,0.04247305478299791,-0.007872520694294439
19,x_unit_type,8,0.038580728362603185,-0.0010799982742454466
20,x_vital_respiratory_rate_sd,2,0.035754802147168724,-0.004939507025852912
21,x_lab_platelets_min,2,0.034989138602370365,-0.005745487863852728
22,x_lab_glucose_serum_first,2,0.03210955342349896,-0.00330753659097495
23,x_lab_potassium_delta,2,0.03199445207108468,0.004224113594547167
24,x_vital_heart_rate_mean,2,0.03157416922507405,-0.005574635954215775
25,x_lab_bun_last,2,0.030155421624692202,0.02198514528844666
26,x_vital_noninvasive_systolic_bp_min,2,0.029792548933799373,-0.004314603312013682
27,x_lab_inr_n,2,0.0287333150202976,-0.004159018121390442
28,x_lab_creatinine_max,2,0.028286211846574857,-0.014681390656129861
29,x_vital_noninvasive_mean_bp_n,2,0.027656589599859248,-0.006685011678115284
30,x_lab_magnesium_min,2,0.025500752502812137,3.85119585756594e-05
31,x_lab_calcium_last,2,0.024720597664174546,-0.00898434492967283
32,x_age_years,1,0.02298454396103903,-0.0036257637852472073
33,x_lab_inr_max,2,0.02239630774653286,-0.0029023457393939885
34,x_vital_noninvasive_mean_bp_first,2,0.021807552205410582,0.0018545512960878052
35,x_lab_glucose_serum_min,2,0.020204521141255476,-0.0033545712476378583
36,x_lab_wbc_max,2,0.019913032445446892,-0.002990657543646348
37,x_lab_creatinine_min,2,0.01924530631954908,-0.010595736625376415
38,x_vital_noninvasive_systolic_bp_max,2,0.018976027779860863,-0.0029086723614972637
39,x_vital_noninvasive_diastolic_bp_first,2,0.018836916899189458,0.0022606825273655683
40,x_vital_noninvasive_systolic_bp_first,2,0.017979897923587018,0.0017131987874360963
41,x_lab_inr_mean,2,0.015549311993580268,-0.0014600031620961623
42,x_vital_noninvasive_mean_bp_sd,2,0.01424682772452061,-0.0011268333711792677
43,x_lab_glucose_serum_max,2,0.013972760013526023,-0.0016367666392285716
44,x_lab_wbc_last,2,0.01386937773621997,-0.0028851979126713954
45,x_lab_bun_mean,2,0.013854876580635505,0.008384827190162565
46,x_lab_potassium_last,2,0.013799776555781604,-0.004670179834250378
47,x_vital_noninvasive_diastolic_bp_sd,2,0.013357315113990322,0.0009170894052093198
48,x_lab_wbc_min,2,0.01269751989920772,-0.0029144228096952694
49,x_vital_sao2_first,2,0.012640601813507747,-0.001217721092039965
50,x_lab_magnesium_first,2,0.012514398885475099,-0.0007383999872357942
51,x_vital_sao2_last,2,0.01212170710096244,-0.0024066403193846835
52,x_lab_hct_n,2,0.012041408843920349,-0.002514347136270614
53,x_lab_magnesium_mean,2,0.011975813002933933,-0.0012804921393584213
54,x_lab_inr_first,2,0.01171081649517831,-0.001429011091004571
55,x_lab_bicarbonate_last,2,0.01115491425311884,-0.004084143896834711
56,x_lab_wbc_mean,2,0.010536336676436378,-0.002082623280893956
57,x_vital_noninvasive_mean_bp_min,2,0.010288950072291476,-0.001582260563651509
58,x_lab_chloride_last,2,0.009753984823588531,-0.0017484497456254583
59,x_lab_creatinine_mean,2,0.00963017145596814,-0.007992504992895872
60,x_sex,3,0.009606698042860117,-0.0007768794261122683
61,x_lab_hct_max,2,0.009413094035439894,0.0013754409288788579
62,x_vital_heart_rate_min,2,0.00940295061027929,-0.0012251934285924925
63,x_lab_platelets_last,2,0.009366277993341839,-0.0013596368846465184
64,x_lab_bun_max,2,0.009355043173527531,0.005166551719607853
65,x_lab_wbc_first,2,0.009269894883309496,-0.0011564904934207817
66,x_vital_noninvasive_systolic_bp_n,2,0.00924770733114863,-0.0019326501300671426
67,x_vital_noninvasive_mean_bp_mean,2,0.009099647264266033,-0.0023160869689060797
68,x_vital_noninvasive_diastolic_bp_mean,2,0.009072081553847767,0.000926903584071805
69,x_lab_chloride_first,2,0.00891841323640692,-0.0012389796511060023
70,x_lab_hct_min,2,0.008572224487738948,-0.0025509187456190176
71,x_lab_inr_last,2,0.008444697159727557,-0.001682623170465809
72,x_lab_anion_gap_min,2,0.008439286015699928,-0.004193999924465746
73,x_lab_anion_gap_mean,2,0.008307053009803304,-0.00301759773828693
74,x_vital_noninvasive_diastolic_bp_last,2,0.008304475050521147,-0.000612592445252293
75,x_vital_heart_rate_max,2,0.008194978084089324,-0.0012147163625312533
76,x_lab_hct_last,2,0.00810451727520854,-0.0018378088370882646
77,x_vital_noninvasive_systolic_bp_mean,2,0.008090854772970143,-0.002154484434452545
78,x_lab_phosphate_max,2,0.007793925675900324,-0.0038407678403550296
79,x_lab_calcium_n,2,0.007721450891015363,0.00045350913614955544
80,x_vital_noninvasive_mean_bp_last,2,0.0077088656468550535,-0.0013330577299318074
81,x_lab_bicarbonate_mean,2,0.007668136332568852,-0.002446100365481812
82,x_lab_hgb_mean,2,0.0075263472754020936,-0.001048947589695908
83,x_vital_respiratory_rate_max,2,0.007390129017336298,0.0008218881725932262
84,x_lab_bilirubin_total_mean,2,0.007379764293913104,-0.0021885355007846895
85,x_lab_bilirubin_total_last,2,0.007004460325994765,-0.0019532481344642413
86,x_vital_respiratory_rate_first,2,0.00682306106973526,-0.0004827981592195012
87,x_vital_respiratory_rate_n,2,0.006677971232920412,-0.0005412623741940314
88,x_lab_bilirubin_total_max,2,0.006629792766501409,-0.0015545819185184535
89,x_lab_glucose_serum_mean,2,0.00647451467938165,-0.0009304195440760437
90,x_lab_hgb_max,2,0.006404538617640849,0.0008887427702452384
91,x_vital_heart_rate_first,2,0.006318663257971584,0.0015187232153510439
92,x_lab_bicarbonate_min,2,0.006295503966682598,-0.00029945852814946134
93,x_lab_platelets_mean,2,0.006218943922642443,-0.0013927649975858305
94,x_lab_anion_gap_max,2,0.006211621474053387,-0.0024680586588604844
95,x_lab_chloride_mean,2,0.006135258886299651,-0.0011924712207753974
96,x_lab_hgb_last,2,0.006100885962794944,-0.0005542788861757633
97,x_lab_platelets_first,2,0.005880276812152572,-0.0007255467305226234
98,x_lab_platelets_max,2,0.005737700965911058,-0.0008476145988027345
99,x_vital_noninvasive_diastolic_bp_n,2,0.005535838467697416,-0.0013773108961218125
100,x_vital_sao2_min,2,0.005395695639989325,-0.0005401753854874363
101,x_vital_noninvasive_diastolic_bp_min,2,0.005328288037307563,-0.000598053327631958
102,x_vital_noninvasive_mean_bp_max,2,0.0053254872633939,-0.0005946471169154898
103,x_lab_inr_min,2,0.005310962200462406,-0.001025832267672104
104,x_lab_sodium_mean,2,0.00509149582469919,4.111498383326691e-05
105,x_lab_bicarbonate_first,2,0.004982977705550733,-0.0007686857840186755
