pooled_rank,source_predictor,transformed_column_count,pooled_mean_absolute_grouped_shap,pooled_mean_signed_grouped_shap
1,x_reference_creatinine,1,0.49447381702424315,-0.2688647839204108
2,x_lab_creatinine_last,2,0.3407313798775357,-0.22451216113623754
3,x_stage1_at_landmark,1,0.2910371051769716,-0.13050557804802956
4,x_vital_sao2_sd,2,0.09482898370463663,-0.02037804968908849
5,x_unit_admit_source,16,0.08301920268046814,-0.000889197019808159
6,x_vital_respiratory_rate_mean,2,0.07392199633105838,-0.012389370909419111
7,x_vital_heart_rate_last,2,0.07346504535040607,-0.01228840104233073
8,x_lab_bun_first,2,0.06654345297956948,0.035069421297228384
9,x_bmi,2,0.06392855462743086,-0.006710678045552275
10,x_lab_bun_min,2,0.05912381365722071,0.04050429945929247
11,x_vital_sao2_mean,2,0.054265007029607376,-0.006475610242957671
12,x_vital_noninvasive_systolic_bp_last,2,0.05125911261722831,-0.009164028885112764
13,x_vital_noninvasive_systolic_bp_sd,2,0.05024295860221971,-0.010556004669362733
14,x_vital_respiratory_rate_last,2,0.04776290177504574,-0.007536394536611447
15,x_lab_anion_gap_last,2,0.04667257245661288,-0.01626005775474645
16,x_lab_creatinine_first,2,0.045485938591714015,0.00339644938715817
17,x_vital_heart_rate_sd,2,0.044142944140313285,-0.0068476814590201635
18,x_vital_respiratory_rate_min,2,0.04247305478299791,-0.007872520694294439
19,x_unit_type,8,0.038580728362603185,-0.0010799982742454466
20,x_vital_respiratory_rate_sd,2,0.035754802147168724,-0.004939507025852912
