model,scope,probability_type,patients,events,auroc,auprc,brier,log_loss,mean_predicted_risk,observed_event_rate,calibration_intercept,calibration_slope
full_locked_xgboost,pooled_all5,raw,58491,3032,0.8758889681797307,0.39940450890941825,0.03785495607693847,0.14225103104205378,0.05071056913045494,0.05183703475748406,0.18423267293658493,1.0741962805949599
full_locked_xgboost,pooled_all5,platt_calibrated,58491,3032,0.8758038099504537,0.3988324062812816,0.037799630507975676,0.14201893213075395,0.052096833360869337,0.05183703475748406,0.002270707704053572,1.0045791401544033
full_locked_xgboost,outer_fold_1,raw,11688,606,0.8719740273973257,0.42156079501336047,0.03756851175436577,0.14217124332370484,0.050300039210626736,0.05184804928131417,0.21344153789367096,1.0823952391935938
full_locked_xgboost,outer_fold_1,platt_calibrated,11688,606,0.8719740273973257,0.42156079501336047,0.03746811948119063,0.14185318085403378,0.05156229462521278,0.05184804928131417,0.04500649381706596,1.0184271546809556
full_locked_xgboost,outer_fold_2,raw,11691,606,0.8823911687515167,0.4182784232772304,0.03741038825747073,0.13947699086838924,0.04833910593177641,0.05183474467539133,0.35241909482814815,1.1212185431675226
full_locked_xgboost,outer_fold_2,platt_calibrated,11691,606,0.8823911687515167,0.4182784232772304,0.03724323665800137,0.13889380076502233,0.04933910698007122,0.05183474467539133,0.17705487702348421,1.0524229643960852
full_locked_xgboost,outer_fold_3,raw,11736,608,0.8841045081870296,0.4078440156379931,0.037664140438346747,0.14072017136885664,0.05227432588871439,0.051806407634628494,0.1382924567515662,1.0740714957215953
full_locked_xgboost,outer_fold_3,platt_calibrated,11736,608,0.8841045081870293,0.40784401563799316,0.037663628144971935,0.1405183703875691,0.05371362325398841,0.051806407634628494,-0.03565349625070001,1.0073052996446132
full_locked_xgboost,outer_fold_4,raw,11688,606,0.8787470449806214,0.4294869785065132,0.036827493180604895,0.13927977852293522,0.05161880533848628,0.05184804928131417,0.20385020096878187,1.0971313639503928
full_locked_xgboost,outer_fold_4,platt_calibrated,11688,606,0.8787470449806215,0.4294869785065132,0.03670795025522716,0.13892498002066564,0.05338086092589703,0.05184804928131417,0.01487579159742437,1.0283299873050353
full_locked_xgboost,outer_fold_5,raw,11688,606,0.8621370664408075,0.3395520824928378,0.03980514449980693,0.14961397004705668,0.051014755975449785,0.05184804928131417,0.02838383916873421,1.0033408303147537
full_locked_xgboost,outer_fold_5,platt_calibrated,11688,606,0.8621370664408075,0.3395520824928378,0.039915919343315315,0.14991129323614438,0.052482349060268337,0.05184804928131417,-0.17016512620671914,0.9250234959968684
renal_marker_ablated_xgboost,pooled_all5,raw,58491,3032,0.7863949186165768,0.2094726105306681,0.044943477451967875,0.17447658017622591,0.05093666541781448,0.05183703475748406,0.22870002162931338,1.0833395916954083
renal_marker_ablated_xgboost,pooled_all5,platt_calibrated,58491,3032,0.7862690828295462,0.2092853251317991,0.04493994471172421,0.17434621947756648,0.05211735979032743,0.05183703475748406,0.047815368682417494,1.022012822136963
renal_marker_ablated_xgboost,outer_fold_1,raw,11688,606,0.7793444815515661,0.21703880212057083,0.04489894486253938,0.17507142187452845,0.04904105967275822,0.05184804928131417,0.33971630419469934,1.1076174416053262
renal_marker_ablated_xgboost,outer_fold_1,platt_calibrated,11688,606,0.7793444815515661,0.21703880212057083,0.04483423056894167,0.17481111269171504,0.05006903260117667,0.05184804928131417,0.1555462259811545,1.045714514459312
renal_marker_ablated_xgboost,outer_fold_2,raw,11691,606,0.8037254875690546,0.2146958887610868,0.044804140983248746,0.17206191256672057,0.04906390105218738,0.05183474467539133,0.43564573626966513,1.146782495264525
renal_marker_ablated_xgboost,outer_fold_2,platt_calibrated,11691,606,0.8037254875690546,0.2146958887610868,0.04476217991522557,0.17172717821959446,0.04994482002599235,0.05183474467539133,0.27227723354278577,1.0917066100545898
renal_marker_ablated_xgboost,outer_fold_3,raw,11736,608,0.7940422334367551,0.21594023500125425,0.04469432243717534,0.17284424487058148,0.05284157896732379,0.051806407634628494,0.23400845830866696,1.1047777672520602
renal_marker_ablated_xgboost,outer_fold_3,platt_calibrated,11736,608,0.7940422334367551,0.21594023500125425,0.04469243387146206,0.1726790968699499,0.05386269991501726,0.051806407634628494,0.07374950043689639,1.0494924641705086
renal_marker_ablated_xgboost,outer_fold_4,raw,11688,606,0.7853908428200697,0.21535797762591224,0.04485034719143163,0.17452212881712947,0.05372152723558677,0.05184804928131417,0.08512500087269555,1.0519077649026631
renal_marker_ablated_xgboost,outer_fold_4,platt_calibrated,11688,606,0.7853908428200697,0.21535797762591224,0.04488223468791963,0.17454721524752445,0.0553105717224666,0.05184804928131417,-0.055527037043395316,1.0084175090916063
renal_marker_ablated_xgboost,outer_fold_5,raw,11688,606,0.7702352936972094,0.19578579475439695,0.04547069077330499,0.17789051616913565,0.05000791779663038,0.05184804928131417,0.09411884263141788,1.0207905582320673
renal_marker_ablated_xgboost,outer_fold_5,platt_calibrated,11688,606,0.7702352936972094,0.19578579475439695,0.04552970661420992,0.1779740130969798,0.051393064599142634,0.05184804928131417,-0.15663560232987622,0.9329422044013141
