predictor,clinical_domain,data_type,source_table_field,extraction_window,overall_missingness,min_hospital_missingness,max_hospital_missingness,hospitals_completely_unavailable,missingness_indicator_generated,removed_folds,removed_fold_count,retained_all_folds
x_age_years,Demographics/context,numeric,feature_static_v1,admission/0–12 h,0.0,0.0,0.0,0,Yes when missing in training,,0,True
x_sex,Demographics/context,categorical,feature_static_v1,admission/0–12 h,0.0,0.0,0.0,0,No; missing level,,0,True
x_bmi,Demographics/context,numeric,feature_static_v1,admission/0–12 h,0.023815629755005042,0.0,0.3333333333333333,0,Yes when missing in training,,0,True
x_unit_type,Demographics/context,categorical,feature_static_v1,admission/0–12 h,0.0,0.0,0.0,0,No; missing level,,0,True
x_unit_admit_source,Demographics/context,categorical,feature_static_v1,admission/0–12 h,0.0014874083192285992,0.0,0.125,0,No; missing level,,0,True
x_reference_creatinine,Laboratory,numeric,feature_static_v1,admission/0–12 h,0.0,0.0,0.0,0,Yes when missing in training,,0,True
x_stage1_at_landmark,Laboratory,numeric,feature_static_v1,admission/0–12 h,0.0,0.0,0.0,0,Yes when missing in training,,0,True
x_lab_creatinine_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.21844386315843464,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_creatinine_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.21844386315843464,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_creatinine_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.21844386315843464,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_creatinine_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.21844386315843464,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_creatinine_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.21844386315843464,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_creatinine_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.21844386315843464,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bun_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22256415516917133,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bun_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22256415516917133,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bun_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22256415516917133,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bun_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22256415516917133,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bun_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22256415516917133,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bun_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22256415516917133,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_bicarbonate_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2676822075191055,0.0,1.0,6,Yes when missing in training,,0,True
x_lab_bicarbonate_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2676822075191055,0.0,1.0,6,Yes when missing in training,,0,True
x_lab_bicarbonate_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2676822075191055,0.0,1.0,6,Yes when missing in training,,0,True
x_lab_bicarbonate_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2676822075191055,0.0,1.0,6,Yes when missing in training,,0,True
x_lab_bicarbonate_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2676822075191055,0.0,1.0,6,Yes when missing in training,,0,True
x_lab_bicarbonate_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2676822075191055,0.0,1.0,6,Yes when missing in training,,0,True
x_lab_potassium_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.1928330854319468,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_potassium_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.1928330854319468,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_potassium_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.1928330854319468,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_potassium_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.1928330854319468,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_potassium_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.1928330854319468,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_potassium_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.1928330854319468,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_potassium_delta,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.639260740968696,0.16666666666666666,1.0,5,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_sodium_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2119300405190542,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_sodium_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2119300405190542,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_sodium_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2119300405190542,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_sodium_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2119300405190542,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_sodium_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2119300405190542,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_sodium_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2119300405190542,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
