n,mean_predicted,observed,model,decile
5850,0.005387387827365126,0.002905982905982906,Full XGBoost,1
5849,0.007792268498361386,0.005471020687296974,Full XGBoost,2
5849,0.00981413267086634,0.008548469823901521,Full XGBoost,3
5849,0.01183920486924597,0.008377500427423492,Full XGBoost,4
5849,0.01418545158080926,0.016584031458368953,Full XGBoost,5
5849,0.017303729280644727,0.015558215079500769,Full XGBoost,6
5849,0.022078233151471314,0.02256796033510002,Full XGBoost,7
5849,0.03111659538476594,0.03573260386390836,Full XGBoost,8
5849,0.06804341851778369,0.07385877927850915,Full XGBoost,9
5849,0.3334158977130923,0.3287741494272525,Full XGBoost,10
5850,0.0052976664591144204,0.002393162393162393,High-missingness ablation,1
5849,0.007818479736175096,0.007180714652077278,High-missingness ablation,2
5849,0.009838951734550551,0.008206531030945461,High-missingness ablation,3
5849,0.01194553763814445,0.009061378013335612,High-missingness ablation,4
5849,0.014358436667788223,0.01162591896050607,High-missingness ablation,5
5849,0.017539299680427018,0.016755000854846984,High-missingness ablation,6
5849,0.022357693251219075,0.026500256454094717,High-missingness ablation,7
5849,0.03150798750571863,0.03453581808856215,High-missingness ablation,8
5849,0.0685063366704362,0.07727816720806975,High-missingness ablation,9
5849,0.3327233742019443,0.3248418533082578,High-missingness ablation,10
