threshold,model,net_benefit
0.005,Full XGBoost,0.04720367150072223
0.005,High-missingness ablation,0.047222572316885245
0.005,Treat all,0.04707239674119001
0.005,Treat none,0.0
0.01,Full XGBoost,0.043536526123590796
0.01,High-missingness ablation,0.043490416983774934
0.01,Treat all,0.042259631068165715
0.01,Treat none,0.0
0.015,Full XGBoost,0.04074313311423589
0.015,High-missingness ablation,0.041109279079509564
0.015,Treat all,0.03739800482993305
0.015,Treat none,0.0
0.02,Full XGBoost,0.038912318273978314
0.02,High-missingness ablation,0.03904909145275795
0.02,Treat all,0.03248677016069802
0.02,Treat none,0.0
0.025,Full XGBoost,0.03727112959302527
0.025,High-missingness ablation,0.03716109732419934
0.025,Treat all,0.0275251638538298
0.025,Treat none,0.0
0.030000000000000002,Full XGBoost,0.03603039114132812
0.030000000000000002,High-missingness ablation,0.03592463868350881
0.030000000000000002,Treat all,0.022512406966478406
0.030000000000000002,Treat none,0.0
0.034999999999999996,Full XGBoost,0.03480301606119289
0.034999999999999996,High-missingness ablation,0.03467518983257953
0.034999999999999996,Treat all,0.017447704411900578
0.034999999999999996,Treat none,0.0
0.04,Full XGBoost,0.0335835142728511
0.04,High-missingness ablation,0.03355359513999305
0.04,Treat all,0.012330244539045895
0.04,Treat none,0.0
0.045,Full XGBoost,0.032466891357787984
0.045,High-missingness ablation,0.03249777273650459
0.045,Treat all,0.007159198698936185
0.045,Treat none,0.0
0.049999999999999996,Full XGBoost,0.03160720182772158
0.049999999999999996,High-missingness ablation,0.03154421417959938
0.049999999999999996,Treat all,0.001933720797351636
0.049999999999999996,Treat none,0.0
0.055,Full XGBoost,0.03083176817597498
0.055,High-missingness ablation,0.03076473846335876
0.055,Treat all,-0.0033470531666835376
0.055,Treat none,0.0
0.06,Full XGBoost,0.02986638788218737
0.06,High-missingness ablation,0.030052632210738367
0.06,Treat all,-0.008684005577144625
0.06,Treat none,0.0
0.065,Full XGBoost,0.02932349297853493
0.065,High-missingness ablation,0.029437226825060246
0.065,Treat all,-0.014078037692530417
0.065,Treat none,0.0
0.07,Full XGBoost,0.02872659574683211
0.07,High-missingness ablation,0.028620522999310803
0.07,Treat all,-0.019530070153242964
0.07,Treat none,0.0
0.07500000000000001,Full XGBoost,0.028135074603762095
0.07500000000000001,High-missingness ablation,0.028014936000779974
0.07500000000000001,Treat all,-0.025041043505422654
0.07500000000000001,Treat none,0.0
0.08,Full XGBoost,0.027434172332718595
0.08,High-missingness ablation,0.027451268980066057
0.08,Treat all,-0.030611918741865148
0.08,Treat none,0.0
0.085,Full XGBoost,0.026929835452710348
0.085,High-missingness ablation,0.026933479000505706
0.085,Treat all,-0.03624367786067317
0.085,Treat none,0.0
0.09000000000000001,Full XGBoost,0.026501870016256847
0.09000000000000001,High-missingness ablation,0.026459973836493303
0.09000000000000001,Treat all,-0.04193732444232522
0.09000000000000001,Treat none,0.0
0.095,Full XGBoost,0.02606237480366012
0.095,High-missingness ablation,0.0259464765368351
0.095,Treat all,-0.04769388424587396
0.095,Treat none,0.0
0.1,Full XGBoost,0.02551959560730141
0.1,High-missingness ablation,0.02539042093845397
0.1,Treat all,-0.05351440582501773
0.1,Treat none,0.0
0.10500000000000001,Full XGBoost,0.025101316737932942
0.10500000000000001,High-missingness ablation,0.024954610311532427
0.10500000000000001,Treat all,-0.05939996116482229
0.10500000000000001,Treat none,0.0
0.11,Full XGBoost,0.024633387370264784
0.11,High-missingness ablation,0.024469336394593692
0.11,Treat all,-0.06535164633990556
0.11,Treat none,0.0
0.115,Full XGBoost,0.024157079745814387
0.115,High-missingness ablation,0.023975198463581295
0.115,Treat all,-0.07137058219493328
0.115,Treat none,0.0
0.12000000000000001,Full XGBoost,0.023724706675929942
0.12000000000000001,High-missingness ablation,0.023403755977998174
0.12000000000000001,Treat all,-0.07745791504831359
0.12000000000000001,Treat none,0.0
0.125,Full XGBoost,0.02331494222554386
0.125,High-missingness ablation,0.022809369939697684
0.125,Treat all,-0.08361481742001822
0.125,Treat none,0.0
0.13,Full XGBoost,0.02285841401673546
0.13,High-missingness ablation,0.022403879013118633
0.13,Treat all,-0.0898424887845011
0.13,Treat none,0.0
0.135,Full XGBoost,0.02237536074667087
0.135,High-missingness ablation,0.02206386576147331
0.135,Treat all,-0.09614215634972945
0.135,Treat none,0.0
0.14,Full XGBoost,0.02196123991248107
0.14,High-missingness ablation,0.021726658007015988
0.14,Treat all,-0.10251507586339068
0.14,Treat none,0.0
0.14500000000000002,Full XGBoost,0.021570370050433108
0.14500000000000002,High-missingness ablation,0.02136031124296526
0.14500000000000002,Treat all,-0.1089625324473871
0.14500000000000002,Treat none,0.0
0.15,Full XGBoost,0.021182746063496953
0.15,High-missingness ablation,0.020965518073670454
0.15,Treat all,-0.11548584146178348
0.15,Treat none,0.0
