outer_fold,model,auroc,auprc,brier
1,Full XGBoost,0.8719740273973257,0.4215607950133604,0.03746811948119064
2,Full XGBoost,0.8823911687515167,0.41827842327723036,0.03724323665800137
3,Full XGBoost,0.8841045081870293,0.4078440156379931,0.037663628144971935
4,Full XGBoost,0.8787470449806215,0.42948697850651324,0.03670795025522716
5,Full XGBoost,0.8621370664408075,0.33955208249283775,0.0399159193433153
1,High-missingness ablation,0.8725876648303704,0.41883670802729933,0.03755887659695917
2,High-missingness ablation,0.8813614717358069,0.42530269089426004,0.0369748650921041
3,High-missingness ablation,0.8845868588955312,0.415567244176422,0.03752878162823122
4,High-missingness ablation,0.8765509198456392,0.42555811706979374,0.036860419252267115
5,High-missingness ablation,0.8643249273492589,0.3326587611768881,0.04011319162010236
