scenario,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
L0,0.01,0.0435365261235908,0.042259631068165715,0
L0,0.02,0.038912318273978314,0.03248677016069802,0
L0,0.03,0.03603039114132812,0.02251240696647841,0
L0,0.04,0.03358351427285109,0.012330244539045895,0
L0,0.05,0.03160720182772158,0.001933720797351629,0
L0,0.060000000000000005,0.02986638788218737,-0.008684005577144632,0
L0,0.06999999999999999,0.02872659574683211,-0.019530070153242936,0
L0,0.08,0.0274341723327186,-0.030611918741865148,0
L0,0.09,0.026501870016256847,-0.04193732444232521,0
L0,0.09999999999999999,0.02551959560730141,-0.053514405825017715,0
L12,0.01,0.02876811379778404,0.027456264743127207,0
L12,0.02,0.024386168498797402,0.01753234907724075,0
L12,0.03,0.021743339004352772,0.007403816593500964,0
L12,0.04,0.019460145471844565,-0.0029357269836500707,0
L12,0.05,0.017693429848940685,-0.013492945162425336,0
L12,0.060000000000000005,0.016103280907639468,-0.024274785004578803,0
L12,0.06999999999999999,0.014970612442038626,-0.035288492370219415,0
L12,0.08,0.013863533192466339,-0.04654162815685224,0
L12,0.09,0.01303010442573276,-0.05804208560912534,0
L12,0.09999999999999999,0.012126826744118115,-0.06979810878256007,0
L24,0.01,0.01706782039999673,0.01575047010659645,0
L24,0.02,0.012968380687922512,0.00570710755666376,0
L24,0.03,0.010356989924508363,-0.004543334633473724,0
L24,0.04,0.008379613560106445,-0.01500732770257241,0
L24,0.05,0.0067496057046468995,-0.025691615362599493,0
L24,0.060000000000000005,0.0052862850517329234,-0.03660322829198885,0
L24,0.06999999999999999,0.004181642425531757,-0.0477494995639457,0
L24,0.08,0.003125927490957749,-0.05913808108094513,0
L24,0.09,0.002422591870700166,-0.07077696109282364,0
L24,0.09999999999999999,0.0016480902978646833,-0.0826744828827439,0
