threshold,model,net_benefit
0.01,Full XGBoost,0.043536526123590796
0.01,No missingness indicators,0.04358332603703686
0.015,Full XGBoost,0.04074313311423589
0.015,No missingness indicators,0.04101433627647344
0.019999999999999997,Full XGBoost,0.038912318273978314
0.019999999999999997,No missingness indicators,0.03886172615427666
0.024999999999999998,Full XGBoost,0.03727112959302527
0.024999999999999998,No missingness indicators,0.03742456104357936
0.03,Full XGBoost,0.03603039114132812
0.03,No missingness indicators,0.03603127241180994
0.034999999999999996,Full XGBoost,0.03480301606119289
0.034999999999999996,No missingness indicators,0.034935271473056875
0.039999999999999994,Full XGBoost,0.0335835142728511
0.039999999999999994,No missingness indicators,0.033570691787340505
0.045,Full XGBoost,0.032466891357787984
0.045,No missingness indicators,0.032519882013440825
0.049999999999999996,Full XGBoost,0.03160720182772158
0.049999999999999996,No missingness indicators,0.03153881523833176
0.05499999999999999,Full XGBoost,0.030831768175974984
0.05499999999999999,No missingness indicators,0.030830954049910816
0.05999999999999999,Full XGBoost,0.02986638788218737
0.05999999999999999,No missingness indicators,0.030220688616579314
0.06499999999999999,Full XGBoost,0.029323492978534933
0.06499999999999999,No missingness indicators,0.029430552732780228
0.06999999999999999,Full XGBoost,0.028726595746832114
0.06999999999999999,No missingness indicators,0.0288475591226883
0.07499999999999998,Full XGBoost,0.0281350746037621
0.07499999999999998,No missingness indicators,0.028256599421394003
0.07999999999999999,Full XGBoost,0.027434172332718595
0.07999999999999999,No missingness indicators,0.027726302002612075
0.08499999999999998,Full XGBoost,0.02692983545271035
0.08499999999999998,No missingness indicators,0.02711631036039079
0.08999999999999998,Full XGBoost,0.02650187001625685
0.08999999999999998,No missingness indicators,0.026538129938653097
0.09499999999999999,Full XGBoost,0.026062374803660124
0.09499999999999999,No missingness indicators,0.026032620969878635
0.09999999999999998,Full XGBoost,0.02551959560730141
0.09999999999999998,No missingness indicators,0.025513896724852263
