model,outer_fold,auroc,auprc,brier,log_loss,calibration_intercept,calibration_slope
Comparator 0: reference creatinine,1,0.7130583117867824,0.1829854218953086,0.04789674812918468,0.18954032982569471,-0.37617186852633344,0.8620156861260826
Comparator 0: reference creatinine,2,0.7245765916239797,0.23008809061482371,0.04598280022396706,0.18231492147948336,0.352053989197162,1.1228784497012194
Comparator 0: reference creatinine,3,0.7183791656419084,0.1953038330695411,0.04696757773687639,0.18632151416097195,0.0063560016061799205,0.9973746355834617
Comparator 0: reference creatinine,4,0.7266717264579733,0.23987131190479655,0.04559242392491916,0.18147855382786382,0.05415181086848625,1.0338800585782135
Comparator 0: reference creatinine,5,0.6868281779450279,0.18970196821336113,0.04690284769143094,0.18704758181013983,-0.009204960286414097,0.9941386017176053
Comparator 1: renal status,1,0.8354084731700024,0.2826026359943233,0.043716034824411394,0.16460731588776914,-0.13785946745168884,0.9562364763292107
Comparator 1: renal status,2,0.836164441883972,0.3003097561370714,0.04271244069622267,0.16280450617477138,0.09473098407425265,1.0238566825993565
Comparator 1: renal status,3,0.836412977931439,0.29244405754464287,0.042879464165723725,0.16259620553990262,0.10429944267724604,1.0316608700034893
Comparator 1: renal status,4,0.8435406954339181,0.30601968664033896,0.04266031348873166,0.16292788717911935,-0.056207158771646455,0.9752883710752427
Comparator 1: renal status,5,0.820156284713474,0.27148705827011443,0.04344948054449608,0.1649356559264317,-0.011353631988496832,1.0087913274816938
Comparator 2: creatinine trajectory,1,0.7860697006354669,0.2479480525392131,0.044369279197768646,0.1689841837422669,-0.10512580400261558,0.970012312750087
Comparator 2: creatinine trajectory,2,0.7933598907928683,0.26243614711907676,0.0435856462394694,0.1667379975283581,0.16829361683099325,1.050046195974451
Comparator 2: creatinine trajectory,3,0.7896751378693858,0.25270458401790147,0.0439098420732137,0.16847594585077336,0.034567283204810895,1.0110771802223086
Comparator 2: creatinine trajectory,4,0.7912783224722039,0.26410779985857946,0.043881336116577116,0.1696330658620449,-0.14640574649275206,0.9446776400547408
Comparator 2: creatinine trajectory,5,0.7591276520721916,0.23612332920326262,0.04417768932971915,0.17048226153087978,-0.020989749681430248,0.9985543691083054
Comparator 3: renal + minimal clinical,1,0.821879115361455,0.2713003547730622,0.04347487051532903,0.16546357474466983,-0.1539139982828474,0.9721936660779
Comparator 3: renal + minimal clinical,2,0.8369234284727525,0.28440839952502045,0.04300104458431497,0.16298418187063976,0.1770028755418116,1.052970470217639
Comparator 3: renal + minimal clinical,3,0.849252212295206,0.2796396547593315,0.043229866844186324,0.16308816036017473,0.03227224361977185,1.0205976452580663
Comparator 3: renal + minimal clinical,4,0.8180585857719502,0.2842462028006915,0.04332211867778548,0.1668950804470449,-0.0779688645703338,0.9406329876490462
Comparator 3: renal + minimal clinical,5,0.7983138595397168,0.25043980203145677,0.04380291451300752,0.16773544086337314,-0.03199593891645177,0.9893712056264069
Full XGBoost,1,0.8719740273973257,0.4215607950133604,0.03746811948119064,0.14185318085403378,0.04500649381706609,1.0184271546809556
Full XGBoost,2,0.8823911687515167,0.41827842327723036,0.03724323665800137,0.13889380076502233,0.17705487702348424,1.052422964396085
Full XGBoost,3,0.8841045081870293,0.4078440156379931,0.037663628144971935,0.1405183703875691,-0.03565349625070025,1.0073052996446128
Full XGBoost,4,0.8787470449806215,0.42948697850651324,0.03670795025522716,0.13892498002066564,0.0148757915974243,1.0283299873050356
Full XGBoost,5,0.8621370664408075,0.33955208249283775,0.0399159193433153,0.14991129323614438,-0.17016512620672014,0.925023495996868
