domain,subgroup,outer_fold,n,events,non_events,prevalence,mean_predicted_risk,oe_ratio,stable_for_metrics,auroc,auprc,auprc_prevalence_ratio,brier,calibration_intercept,calibration_slope
Sex,female,1,5326,258,5068,0.04844160720991363,0.047925040969388,1.0107786290856922,True,0.8443494062150109,0.3845184058008059,7.9377714313763255,0.03685442155175647,-0.06731233883247421,0.9628487733096354
Sex,female,2,5262,235,5027,0.044659825161535535,0.044148308424267056,1.0115863269856862,True,0.8633963829363989,0.3456774690071692,7.740233369854147,0.03445597624092924,0.0609409138434499,1.020343624159134
Sex,female,3,5151,239,4912,0.046398757522811106,0.050985191444494087,0.9100438030780745,True,0.8765468905455683,0.39263622449353,8.462214194000723,0.03465352144102633,-0.10069065578316176,1.0131300168244197
Sex,female,4,5409,254,5155,0.04695877241634313,0.05007427563627551,0.9377823606962892,True,0.8687185440326263,0.37344761374335567,7.9526698532984685,0.03486256573202635,-0.05763445319915339,1.0140759475049927
Sex,female,5,5156,264,4892,0.05120248254460822,0.05027498725122181,1.0184484441289217,True,0.8493226417899353,0.31751640309694523,6.2011915695751885,0.04047801330464799,-0.2040504753893171,0.8935652876493522
Sex,male,1,6361,348,6013,0.05470837918566263,0.05461346459941172,1.0017379338034513,True,0.8918516585711801,0.4487325390188368,8.202263450283969,0.03798781698047669,0.12240502009993226,1.0632092874414396
Sex,male,2,6426,371,6055,0.05773420479302832,0.053602699680134154,1.0770764371486565,True,0.8935648291381119,0.46335858062899293,8.025720321083313,0.03954268129169802,0.24353460768373375,1.0710229168598637
Sex,male,3,6582,369,6213,0.05606198723792161,0.05583736822961351,1.0040227363041974,True,0.8889172410153201,0.4196717251570411,7.485851747923156,0.04002921311040834,0.00897562025573992,1.001712945520342
Sex,male,4,6279,352,5927,0.05605988214683867,0.05622929536315818,0.9969871004922727,True,0.8855734830590365,0.47248956527593833,8.42830108058982,0.03829764365958983,0.06324874422842228,1.0363387992408712
Sex,male,5,6531,342,6189,0.05236564079007809,0.054231999388292304,0.9655856575589001,True,0.8720485033340608,0.3602127782636647,6.87880016035086,0.03947827042561819,-0.14419635795239255,0.9513728964400364
Sex,other_or_missing,1,1,0,1,0.0,0.015083059668540955,0.0,False,,,,,,
Sex,other_or_missing,2,3,0,3,0.0,0.02138421032577753,0.0,False,,,,,,
Sex,other_or_missing,3,3,0,3,0.0,0.07893456363429625,0.0,False,,,,,,
Sex,other_or_missing,5,1,0,1,0.0,0.006673544179648161,0.0,False,,,,,,
Age,<50,1,2129,101,2028,0.04744011272898074,0.05124259001814693,0.9257945921972408,True,0.8774923350323199,0.4869250345498776,10.263994045115737,0.03265133874631581,-0.09630031153336022,1.007151235959544
Age,<50,2,2447,108,2339,0.044135676338373515,0.04473956210284125,0.9865021976951941,True,0.9171456621221478,0.4761771634256696,10.788939989839015,0.029461269520515664,0.3116837527048279,1.1654434346863132
Age,<50,3,2424,138,2286,0.05693069306930693,0.05125672564576318,1.1106970324783663,True,0.9011658868728365,0.4615036114610962,8.106411262186212,0.03875883727113568,0.19926843809754388,1.022448075633745
Age,<50,4,2106,103,2003,0.048907882241215575,0.05056602953789899,0.9672082757567383,True,0.9142402900503613,0.4348103588411299,8.890394327373006,0.03308530973996714,0.06357955740633145,1.0610430398265078
Age,<50,5,2111,91,2020,0.043107531975367125,0.048758177231196076,0.8841087674579107,True,0.8771406811010771,0.2802232173127204,6.500562766452227,0.03583518751219737,-0.46620608115299383,0.8554754751438921
Age,50-64,1,3278,169,3109,0.05155582672361196,0.05599584864055291,0.9207080163130981,True,0.8998802864750362,0.43680315055053304,8.472430340264184,0.03641894716652923,0.013411505800888474,1.0717310420835975
Age,50-64,2,3427,207,3220,0.06040268456375839,0.05586021006632371,1.0813186075032895,True,0.8961667716866204,0.4711819742629966,7.800679351687387,0.040813965757566316,0.28567937582065034,1.0920856591120212
Age,50-64,3,3427,201,3226,0.05865188211263496,0.05709830622536872,1.0272087911178,True,0.8853253879394103,0.4481969775163041,7.641646974867533,0.04149223913004009,0.03114945419939467,0.9962310961913382
Age,50-64,4,3267,196,3071,0.05999387817569636,0.058183748418787956,1.0311105730741112,True,0.8788153164228896,0.488678007189662,8.145464538207273,0.040270352970267397,0.0990428795516814,1.029500400532906
Age,50-64,5,3427,172,3255,0.050189670265538375,0.05718478044449603,0.8776753163239447,True,0.8746043653770585,0.3689996471646222,7.352103435076512,0.0387308675797295,-0.35196896131057526,0.9090358382475906
Age,65-79,1,4078,225,3853,0.055174104953408534,0.05408412147433939,1.0201534840421933,True,0.8713798771520026,0.4153853966654801,7.528629544897012,0.0400220045521744,0.08104476715118418,1.0267676773523882
Age,65-79,2,3701,198,3503,0.05349905430964604,0.050787192374461304,1.053396571229805,True,0.8731873401442342,0.39445377579785024,7.373098102160827,0.03965640414921184,0.09495594904033469,1.0114679248625689
Age,65-79,3,3920,187,3733,0.047704081632653064,0.056809563505729396,0.8397192072747044,True,0.8899939977452151,0.3817235734346003,8.001905924404454,0.035828905719401165,-0.19783974016388972,1.022620446139471
Age,65-79,4,3871,204,3667,0.05269956083699302,0.05449196619064182,0.9671069796347959,True,0.8665428811284536,0.4088579973732247,7.7582809207438865,0.03880378703844367,-0.09748055094408992,0.9741964689612973
Age,65-79,5,3902,233,3669,0.05971296770886725,0.054894867138151865,1.0877696007276938,True,0.872010827288604,0.4022549657509511,6.7364758642069145,0.043100865250157064,0.11201244732947091,0.9977640595234614
Age,>=80,1,2203,111,2092,0.050385837494325916,0.04060607635713285,1.2408447704028207,True,0.8246473050488347,0.3699507515748254,7.342355907381444,0.038956712178665344,0.2572051069097068,0.9934909310901519
Age,>=80,2,2116,93,2023,0.04395085066162571,0.04156401340415286,1.0574255723157469,True,0.8201808237526511,0.29779532216875715,6.775644104398818,0.03623872440670104,-0.11212151671929588,0.9256399475729303
Age,>=80,3,1965,82,1883,0.04173027989821883,0.04466534105174566,0.9342877254619749,True,0.8431343341579991,0.31411115774738313,7.527175914312291,0.033295523890818225,-0.12756524256584073,0.981491146632426
Age,>=80,4,2444,103,2341,0.04214402618657938,0.047626324503647496,0.8848893259304893,True,0.8601709500960092,0.3870400516251938,9.183746467689064,0.03174801861335729,0.028631053992811514,1.0882155052910145
Age,>=80,5,2248,110,2138,0.04893238434163701,0.044623296052048456,1.0965658898115114,True,0.8066969980440513,0.2814728130536933,5.752280761315478,0.040026212208440756,-0.10154442086429648,0.9082949103182264
Recorded race/ethnicity,Caucasian,1,9294,429,8865,0.046158812136862494,0.04745250358228731,0.9727371298085163,True,0.865340374985045,0.3888915337331536,8.425076723813355,0.034474843712829585,-0.0022359540398000713,1.0162720935291363
Recorded race/ethnicity,Caucasian,2,7980,357,7623,0.04473684210526316,0.045696517286581785,0.9789989426261939,True,0.8764673913642592,0.3796634213122517,8.486594123450333,0.0336347774845943,0.05052695913657841,1.036749005490463
Recorded race/ethnicity,Caucasian,3,9236,438,8798,0.04742312689475964,0.0505173973602363,0.9387484188187365,True,0.8773705574430055,0.3665953675248913,7.730307795570539,0.03579699711878864,-0.10152565440912047,0.9922096162537893
Recorded race/ethnicity,Caucasian,4,9145,428,8717,0.046801530891197374,0.049227379085806676,0.9507215651196688,True,0.8779644512441582,0.4002590951129817,8.552265011234153,0.034258837386423276,0.014968327434367363,1.0406507800382532
Recorded race/ethnicity,Caucasian,5,9203,432,8771,0.04694121482125394,0.0495660485542208,0.947043716222496,True,0.8600250932154363,0.3205827289179699,6.829451051463141,0.03684144034483423,-0.21496828459317793,0.9323420979573993
Recorded race/ethnicity,African American,1,1147,102,1045,0.08892763731473409,0.07930140344222233,1.121387938355029,True,0.8860868749413642,0.5102385437852737,5.737682448252048,0.057175737715427666,0.23412469172536335,1.0389676696143
Recorded race/ethnicity,African American,2,1889,146,1743,0.07728957120169402,0.06134282518202876,1.2599610626400868,True,0.9077955658249437,0.5144147524497851,6.65568128340852,0.050087866223179074,0.549838701717972,1.1104546697072324
Recorded race/ethnicity,African American,3,1178,104,1074,0.08828522920203735,0.07549548442914279,1.1694107252851464,True,0.8935951153129925,0.5151032965559427,5.8345354167586585,0.05694861050242821,0.21481709745672378,0.9825950535450682
Recorded race/ethnicity,African American,4,1214,106,1108,0.08731466227347612,0.08201915262358285,1.06456430578107,True,0.8691080307880935,0.49048884415070276,5.617485441499558,0.05689241937703491,-0.034161345103745175,0.9161830271596977
Recorded race/ethnicity,African American,5,966,75,891,0.07763975155279502,0.07639379825252138,1.016309613198641,True,0.8810175832398055,0.45240521387954435,5.826979154768532,0.052034388532755424,-0.045507203699611275,0.9565274953140869
Recorded race/ethnicity,Other/Unknown,1,563,39,524,0.06927175843694494,0.06002645807830389,1.1540204212379257,True,0.9125073399882561,0.6279540877021512,9.065080804520798,0.0404997480005103,0.44606582571166714,1.1234745481251363
