n,events,mean_predicted,observed,domain,subgroup,quintile
5261,27,0.006741786382545753,0.005132104162706709,Sex,female,1
5261,49,0.011063434406293591,0.009313818665652918,Sex,female,2
5260,83,0.01605520352877025,0.015779467680608367,Sex,female,3
5261,159,0.02658813963032589,0.03022239118038396,Sex,female,4
5261,932,0.1829020413836527,0.17715263257935754,Sex,female,5
6436,24,0.006472066265591371,0.0037290242386575512,Sex,male,1
6436,50,0.010638729600274023,0.007768800497203232,Sex,male,2
6435,102,0.015490858656120514,0.015850815850815853,Sex,male,3
6436,181,0.02661209639000913,0.0281230577998757,Sex,male,4
6436,1425,0.21527928491733678,0.2214108141702921,Sex,male,5
2244,5,0.005514641510697875,0.0022281639928698753,Age,<50,1
2243,12,0.008994012817780301,0.005349977708426215,Age,<50,2
2243,31,0.013374030685971558,0.013820775746767721,Age,<50,3
2243,50,0.023270296900335084,0.02229157378510923,Age,<50,4
2244,443,0.1949636376315127,0.19741532976827095,Age,<50,5
3366,13,0.006601799635821981,0.0038621509209744503,Age,50-64,1
3365,25,0.010820695343544986,0.007429420505200594,Age,50-64,2
3365,57,0.015849314837883963,0.016939078751857354,Age,50-64,3
3365,100,0.027589989436948105,0.029717682020802376,Age,50-64,4
3365,750,0.22345177401272362,0.22288261515601784,Age,50-64,5
3895,20,0.007233773836739294,0.005134788189987163,Age,65-79,1
3894,30,0.011691826295717961,0.007704160246533128,Age,65-79,2
3894,60,0.016818716174252735,0.015408320493066256,Age,65-79,3
3894,130,0.02804945413268142,0.03338469440164355,Age,65-79,4
3895,807,0.2074274536906066,0.20718870346598203,Age,65-79,5
2196,18,0.007073057989207332,0.00819672131147541,Age,>=80,1
2195,25,0.01131177588041388,0.011389521640091117,Age,>=80,2
2195,41,0.015998047379382242,0.01867881548974943,Age,>=80,3
2195,70,0.025905752260925285,0.03189066059225513,Age,>=80,4
2195,345,0.15924524680832253,0.1571753986332574,Age,>=80,5
8972,31,0.00658737224397157,0.0034551939366919302,Recorded race/ethnicity,Caucasian,1
8971,68,0.01078526932393617,0.00757997993534723,Recorded race/ethnicity,Caucasian,2
8972,140,0.015626536070847095,0.01560410164957646,Recorded race/ethnicity,Caucasian,3
8971,248,0.02582704821164865,0.027644632705384014,Recorded race/ethnicity,Caucasian,4
8972,1597,0.18400010018187193,0.17799821667409718,Recorded race/ethnicity,Caucasian,5
1279,8,0.0070656009826319845,0.006254886630179828,Recorded race/ethnicity,African American,1
1279,14,0.011634319101731884,0.0109460516028147,Recorded race/ethnicity,African American,2
1278,25,0.017374392791982034,0.019561815336463225,Recorded race/ethnicity,African American,3
1279,70,0.03558728517855258,0.054730258014073496,Recorded race/ethnicity,African American,4
1279,416,0.29515155438010443,0.32525410476935107,Recorded race/ethnicity,African American,5
614,5,0.006124982176157449,0.008143322475570033,Recorded race/ethnicity,Other/Unknown,1
613,7,0.010094552103363184,0.011419249592169658,Recorded race/ethnicity,Other/Unknown,2
614,8,0.01442333360593948,0.013029315960912053,Recorded race/ethnicity,Other/Unknown,3
613,16,0.024649492314550266,0.026101141924959218,Recorded race/ethnicity,Other/Unknown,4
614,144,0.21184037519612803,0.23452768729641693,Recorded race/ethnicity,Other/Unknown,5
443,2,0.006080483267731275,0.004514672686230248,Recorded race/ethnicity,Hispanic,1
443,4,0.010556924686626307,0.009029345372460496,Recorded race/ethnicity,Hispanic,2
442,6,0.01584553574654379,0.013574660633484163,Recorded race/ethnicity,Hispanic,3
443,7,0.02743765306038862,0.01580135440180587,Recorded race/ethnicity,Hispanic,4
443,95,0.21180217430567364,0.2144469525959368,Recorded race/ethnicity,Hispanic,5
214,0,0.006593876129895379,0.0,Recorded race/ethnicity,Asian,1
214,3,0.01068943891691688,0.014018691588785047,Recorded race/ethnicity,Asian,2
213,3,0.015448295135278378,0.014084507042253521,Recorded race/ethnicity,Asian,3
214,7,0.02768725077578119,0.03271028037383177,Recorded race/ethnicity,Asian,4
214,50,0.22678198226701432,0.2336448598130841,Recorded race/ethnicity,Asian,5
77,1,0.0068397705757676005,0.012987012987012988,Recorded race/ethnicity,Native American,1
76,1,0.011676124346099402,0.013157894736842105,Recorded race/ethnicity,Native American,2
77,4,0.01805986130198875,0.05194805194805195,Recorded race/ethnicity,Native American,3
76,1,0.03304220647796204,0.013157894736842105,Recorded race/ethnicity,Native American,4
77,20,0.2919082645955798,0.2597402597402597,Recorded race/ethnicity,Native American,5
101,1,0.0067350725288327674,0.009900990099009901,Recorded race/ethnicity,Missing,1
101,3,0.01071006294782504,0.0297029702970297,Recorded race/ethnicity,Missing,2
101,2,0.01564766220416468,0.019801980198019802,Recorded race/ethnicity,Missing,3
101,2,0.027492936737466566,0.019801980198019802,Recorded race/ethnicity,Missing,4
101,23,0.19562829363316592,0.22772277227722773,Recorded race/ethnicity,Missing,5
