domain,subgroup,n,events,non_events,prevalence,mean_predicted_risk,oe_ratio,stable_for_metrics,auroc,auprc,auprc_prevalence_ratio,brier,calibration_intercept,calibration_slope,auroc_ci_low,auroc_ci_high,auroc_valid_replicates,auprc_ci_low,auprc_ci_high,auprc_valid_replicates,brier_ci_low,brier_ci_high,brier_valid_replicates,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_intercept_valid_replicates,calibration_slope_ci_low,calibration_slope_ci_high,calibration_slope_valid_replicates
Sex,female,26304,1250,25054,0.047521289537712896,0.048671360988669275,0.976370674096742,True,0.8599788616588171,0.3571400310998589,7.515369102440551,0.036244317964965286,-0.08156712188908366,0.976751636964625,0.8471574828753149,0.8720209835276782,2000,0.32528076548389545,0.3918407111287696,2000,0.03377690736054672,0.038755334057981435,2000,-0.21425905667079884,0.043619654837538054,2000,0.9364589387351447,1.0175362315776904,2000
Sex,male,32179,1782,30397,0.05537773081823549,0.054899831807667214,1.0087049266788743,True,0.8864949975311744,0.42819481146648686,7.732256362615085,0.039078826041028254,0.057550854955676356,1.0236568349906072,0.8777289481327343,0.8953027575572318,2000,0.39981354511675393,0.4569281828146055,2000,0.036981430223848775,0.041102217400141076,2000,-0.03397907090843064,0.15012598143679953,2000,0.9915154808818668,1.057656652145306,2000
Sex,other_or_missing,8,0,8,0.0,0.04033911571605131,0.0,False,,,,,,,,,0,,,0,,,0,,,0,,,0
Age,<50,11217,541,10676,0.04823036462512258,0.04923242006966992,0.9796464312920367,True,0.8983239480611581,0.41326050421114424,8.568471489346404,0.03395592327747709,0.008870011188397392,1.0196662927040032,0.884344160446536,0.912469043154188,2000,0.3658827913036953,0.4662808692101966,2000,0.030556827367261608,0.037242723899316814,2000,-0.1656057484369666,0.18230733101339125,2000,0.960582084677515,1.0831200473367473,2000
Age,50-64,16826,945,15881,0.05616308094615476,0.05685972755514267,0.9877479784208903,True,0.8866576778547057,0.43829901009268923,7.804041422031311,0.03956606438317524,0.013508148517097971,1.0166240088560357,0.8754051018607752,0.897047704522116,2000,0.40102113725016736,0.474011707031595,2000,0.03714537570186203,0.04185655799431542,2000,-0.12707007866138442,0.14907144460877952,2000,0.9707373901278407,1.0603566773100381,2000
Age,65-79,19472,1047,18425,0.053769515201314705,0.05424969741114111,0.9911486656563767,True,0.8741303381503527,0.3961075485334467,7.3667680850461075,0.039483177514994916,-0.005324278315898036,1.0034373438475963,0.8621704296451737,0.8858539720569129,2000,0.36590032052577615,0.4289126057881732,2000,0.03691354061120528,0.042037743740248955,2000,-0.12131630863439097,0.11407754299995908,2000,0.96563761982102,1.0426562677098368,2000
Age,>=80,10976,499,10477,0.04546282798833819,0.043903420221988954,1.0355190497338111,True,0.8295452219701406,0.32183780905193793,7.079141868044229,0.036033123611083906,-0.020730477936403327,0.9722272438566224,0.810062002504811,0.8473963747904082,2000,0.28198118509761605,0.3661812642533929,2000,0.0330287751797342,0.03934079676259,2000,-0.19778281280206725,0.15303324563317341,2000,0.9152445434890196,1.030632158005156,2000
Recorded race/ethnicity,Caucasian,44858,2084,42774,0.046457710999152885,0.04856661431281019,0.9565770984142692,True,0.8712648787848682,0.3655119049437992,7.867626214956307,0.03503911522082088,-0.057614425081808765,1.0009479585294323,0.8622774856048707,0.8799380490456448,2000,0.34122200069963815,0.39122277572697434,2000,0.03307896880374429,0.0369691033048083,2000,-0.15751964948971864,0.03937164279551514,2000,0.9668933062503355,1.034720819467897,2000
Recorded race/ethnicity,African American,6394,533,5861,0.08335939943697217,0.07337138685823846,1.1361295323207075,True,0.8893980082031734,0.4905030004460046,5.884195468765015,0.054209357221364295,0.1982904110426466,1.0022156909272657,0.8738571083875047,0.9042859798492965,2000,0.4398001373714202,0.5419937305680468,2000,0.05062326916913381,0.05779417268297063,2000,0.0289764187975521,0.34502801857026544,2000,0.9423523855237421,1.0711630843584072,2000
Recorded race/ethnicity,Other/Unknown,3068,180,2888,0.05867014341590613,0.053450050680838024,1.0976630081463987,True,0.8723549553708835,0.46048826758647343,7.848766694196113,0.040897397761886944,0.08393051608102402,0.9747741639746171,0.8309943403753649,0.9043386404159565,2000,0.3575543637576792,0.5613965677099079,2000,0.03636771709500258,0.04639788356232101,2000,-0.24873092325775173,0.38853927524699317,2000,0.8600006016605722,1.0863301914362562,2000
