domain,subgroup,threshold,n,events,sensitivity,specificity,ppv,npv,f1,alerts_per_100
Sex,female,0.05,26304,1250,0.6976,0.8650914025704478,0.2050799623706491,0.9828586976237983,0.31697564521992,16.164841849148416
Sex,female,0.075,26304,1250,0.6464,0.9010936377424763,0.24589166159464396,0.9807976366322009,0.35626102292768963,12.492396593673966
Sex,female,0.1,26304,1250,0.616,0.920172427556478,0.2779783393501805,0.9796039772244413,0.38308457711442784,10.530717761557177
Sex,male,0.05,32179,1782,0.7716049382716049,0.8622890416817449,0.24725768746628304,0.9847095950108948,0.37450633256162336,17.28145685074117
Sex,male,0.075,32179,1782,0.7289562289562289,0.8943645754515248,0.28802660753880266,0.9825436408977556,0.4129052765416402,14.015351626837377
Sex,male,0.1,32179,1782,0.6975308641975309,0.91176760864559,0.31668789808917197,0.9809230551426347,0.43560539688102334,12.19739581714783
Sex,other_or_missing,0.05,8,0,,,,,,12.5
Sex,other_or_missing,0.075,8,0,,,,,,12.5
Sex,other_or_missing,0.1,8,0,,,,,,12.5
Age,<50,0.05,11217,541,0.7689463955637708,0.8822592731360059,0.24865511057979678,0.9869027661357921,0.3757904245709124,14.914861371133101
Age,<50,0.075,11217,541,0.7264325323475046,0.9140127388535032,0.2997711670480549,0.9850595598627094,0.4244060475161987,11.687617009895694
Age,<50,0.1,11217,541,0.6894639556377079,0.9307793180966654,0.335431654676259,0.9833745670460168,0.45130066545674535,9.913524115182312
Age,50-64,0.05,16826,945,0.7746031746031746,0.8569989295384421,0.24375624375624375,0.9845908992259278,0.37082066869300906,17.84737905622251
Age,50-64,0.075,16826,945,0.7248677248677249,0.8918833826585227,0.2851790174854288,0.9819744869661675,0.40932178069913355,14.275525971710449
Age,50-64,0.1,16826,945,0.7058201058201058,0.9114035640073044,0.3216007714561234,0.9811550976138829,0.44186816826763825,12.326161892309521
Age,65-79,0.05,19472,1047,0.7411652340019103,0.8560108548168249,0.226305045202683,0.9831078975254005,0.34673815907059874,17.609901396877568
Age,65-79,0.075,19472,1047,0.6905444126074498,0.8904206241519674,0.2636761487964989,0.9806335923490735,0.38163103721298497,14.08175842235004
Age,65-79,0.1,19472,1047,0.6552053486150907,0.908819538670285,0.28994082840236685,0.9788962936981176,0.4019923820685613,12.150780608052589
Age,>=80,0.05,10976,499,0.6472945891783567,0.8677102223919061,0.1889994148624927,0.9810078774144815,0.2925724637681159,15.570335276967931
Age,>=80,0.075,10976,499,0.6132264529058116,0.9011167318888995,0.22801788375558868,0.9799667843055844,0.33242802824551876,12.226676384839651
Age,>=80,0.1,10976,499,0.5751503006012024,0.9182017753173618,0.2508741258741259,0.9784377542717657,0.3493609251369446,10.422740524781341
Recorded race/ethnicity,Caucasian,0.05,44858,2084,0.7192898272552783,0.8691728620189835,0.21127554615926708,0.984508646029182,0.32661509968406144,15.816576753310446
Recorded race/ethnicity,Caucasian,0.075,44858,2084,0.6703454894433781,0.9027914153457708,0.2514851485148515,0.9825204182886803,0.3657546799319283,12.383521333987249
Recorded race/ethnicity,Caucasian,0.1,44858,2084,0.6401151631477927,0.9201617805208772,0.2809012423668141,0.9813009548979033,0.39045807112542075,10.586740380757055
Recorded race/ethnicity,African American,0.05,6394,533,0.8105065666041276,0.8228971165330149,0.2938775510204082,0.9794882209585702,0.43135297054418376,22.990303409446355
Recorded race/ethnicity,African American,0.075,6394,533,0.774859287054409,0.8599215150998123,0.3346839546191248,0.9767441860465116,0.4674589700056593,19.2993431341883
Recorded race/ethnicity,African American,0.1,6394,533,0.7392120075046904,0.8850025592902235,0.36891385767790263,0.9739016147202403,0.4921923797626484,16.703159211761026
Recorded race/ethnicity,Other/Unknown,0.05,3068,180,0.7444444444444445,0.8718836565096952,0.26587301587301587,0.9820592823712948,0.39181286549707606,16.427640156453716
Recorded race/ethnicity,Other/Unknown,0.075,3068,180,0.6888888888888889,0.9051246537396122,0.31155778894472363,0.9790262172284644,0.4290657439446367,12.972620599739242
Recorded race/ethnicity,Other/Unknown,0.1,3068,180,0.65,0.9203601108033241,0.3371757925072046,0.9768467475192943,0.4440227703984819,11.310299869621904
Recorded race/ethnicity,Hispanic,0.05,2214,114,0.7894736842105263,0.8571428571428571,0.23076923076923078,0.9868421052631579,0.35714285714285715,17.615176151761517
Recorded race/ethnicity,Hispanic,0.075,2214,114,0.7280701754385965,0.8876190476190476,0.2601880877742947,0.9836411609498681,0.38337182448036955,14.408310749774165
Recorded race/ethnicity,Hispanic,0.1,2214,114,0.7105263157894737,0.9076190476190477,0.29454545454545455,0.9829809179989686,0.416452442159383,12.420957542908763
Recorded race/ethnicity,Asian,0.05,1069,63,0.7936507936507936,0.856858846918489,0.25773195876288657,0.9851428571428571,0.38910505836575876,18.14780168381665
Recorded race/ethnicity,Asian,0.075,1069,63,0.7619047619047619,0.8876739562624254,0.2981366459627329,0.9834801762114538,0.4285714285714285,15.060804490177738
Recorded race/ethnicity,Asian,0.1,1069,63,0.7301587301587301,0.904572564612326,0.323943661971831,0.9816612729234089,0.448780487804878,13.283442469597755
Recorded race/ethnicity,Native American,0.05,383,27,0.7407407407407407,0.8230337078651685,0.24096385542168675,0.9766666666666667,0.36363636363636365,21.671018276762403
Recorded race/ethnicity,Native American,0.075,383,27,0.7407407407407407,0.8651685393258427,0.29411764705882354,0.9777777777777777,0.42105263157894735,17.75456919060052
Recorded race/ethnicity,Native American,0.1,383,27,0.7407407407407407,0.8792134831460674,0.31746031746031744,0.978125,0.4444444444444444,16.449086161879894
