tier,metric,n_hospitals,min,p10,p25,median,p75,p90,max
Tier B: >=20 events and >=20 non-events,auroc,51,0.7299308321106686,0.8266563326830051,0.8558071824076616,0.8778641891539225,0.8991432071795388,0.9127047913446678,0.9458294203022283
Tier B: >=20 events and >=20 non-events,auprc,51,0.15559951092910376,0.32748248139651304,0.38856294413850234,0.44753038649753574,0.5055631362906963,0.5590714770059205,0.6762364532891425
Tier B: >=20 events and >=20 non-events,brier,51,0.02170058499667492,0.030409409426292094,0.034495077536889546,0.04003115389177411,0.04398315935339224,0.050727210275383974,0.07030896930584803
Tier B: >=20 events and >=20 non-events,calibration_intercept,51,-1.1978148807769935,-0.3476935117299821,-0.1450274977619752,0.07337896455421311,0.31861982366929276,0.5006175604085104,1.2108540513734658
Tier B: >=20 events and >=20 non-events,calibration_slope,51,0.6164897888743535,0.9110507872978125,0.9515737614176746,1.011554667998977,1.097110084927425,1.1661646248927702,1.269718704679357
Tier B: >=20 events and >=20 non-events,calibration_in_the_large,51,-0.6322443054506304,-0.24921673846486153,-0.1502857302400672,0.07081006534193722,0.20425429673356854,0.3736116461045206,0.9102083847352029
Tier B: >=20 events and >=20 non-events,oe_ratio,51,0.6370076339285993,0.8237023205377821,0.8881651873438403,1.0524586118431456,1.1569109513537397,1.2986119801269949,2.0717190623238677
Tier B: >=20 events and >=20 non-events,event_prevalence,51,0.030303030303030304,0.040172166427546625,0.04728728531235421,0.055869074492099324,0.06452078713600934,0.06784660766961652,0.10964912280701754
Tier B: >=20 events and >=20 non-events,mean_predicted_risk,51,0.03193375106566792,0.04435776816584159,0.048083961960881536,0.053724607400097636,0.05971353827482767,0.0643284570176116,0.08527488311907898
Strict: >=30 events and >=30 non-events,auroc,29,0.8232011554621849,0.8500844151254312,0.863252972039583,0.8825192164641705,0.9029721880641532,0.9082977157866349,0.9458294203022283
Strict: >=30 events and >=30 non-events,auprc,29,0.2366624452568038,0.37589245466085885,0.3995366900916851,0.4780058749792067,0.5119996149489525,0.5607219922365161,0.6101813187589499
Strict: >=30 events and >=30 non-events,brier,29,0.027923247448077497,0.031100028032892538,0.03598003701021971,0.040773866140684824,0.0433193712213013,0.04819443740058375,0.07030896930584803
Strict: >=30 events and >=30 non-events,calibration_intercept,29,-0.6415398977738077,-0.18198975983386145,-0.06516718810419142,0.1685056733854612,0.36963612221564446,0.5053627220958743,0.6371573097455729
Strict: >=30 events and >=30 non-events,calibration_slope,29,0.7923093707434342,0.9393258710083511,0.9611680443904153,1.0259054950107973,1.1060750454257111,1.176057990070389,1.2563222352678036
Strict: >=30 events and >=30 non-events,calibration_in_the_large,29,-0.41463582746594907,-0.23719686504135176,-0.03968765756546675,0.07912213547235747,0.19278248709135093,0.3608093871960439,0.5165091887677803
Strict: >=30 events and >=30 non-events,oe_ratio,29,0.7606214356833056,0.8419700211001926,0.9718935019551197,1.056753040870558,1.1506032028544362,1.3005659165579686,1.4082269516033317
Strict: >=30 events and >=30 non-events,event_prevalence,29,0.040098199672667756,0.046730335254030385,0.049026676279740444,0.05690200210748156,0.06408094435075885,0.06746073445859768,0.10804020100502512
Strict: >=30 events and >=30 non-events,mean_predicted_risk,29,0.03784450679098034,0.045464022370064756,0.04886296936771602,0.05533370187077084,0.059948132742879356,0.06516167170852352,0.07672073090350695
