Characteristic,Final primary cohort,Reference creatinine unavailable,Other post-reference exclusions,Missingness by group,Abs SMD final vs no reference,Abs SMD final vs other excluded
"Age, years",65.0 (53.0–76.0),66.0 (54.0–77.0),64.0 (52.0–76.0),See missingness table,0.02919696743123061,0.06312475874815057
"Body mass index, kg/mÂ²",27.6 (23.6–32.9),27.6 (23.7–32.7),27.4 (23.3–32.6),See missingness table,0.004707138900836928,0.045614075344740275
"Last heart rate by 12 h, beats/min",84.0 (72.0–97.0),79.0 (68.0–91.0),81.0 (70.0–94.0),See missingness table,0.2517536512682324,0.1279329369455054
"Last systolic blood pressure by 12 h, mmHg",116.0 (103.0–133.0),119.0 (105.0–136.0),119.0 (105.0–136.0),See missingness table,0.12041945468431413,0.09636857815781869
"Last respiratory rate by 12 h, breaths/min",18.0 (15.0–22.0),18.0 (15.0–22.0),18.0 (15.0–22.0),See missingness table,0.05261040563904367,0.005950465780855992
"Last blood urea nitrogen by 12 h, mg/dL",19.0 (13.0–32.0),17.0 (12.0–27.0),18.0 (12.0–31.0),See missingness table,0.17754280648005585,0.03321926799424899
Any vasopressor infusion by 12 h,"8,374 (14.3%)","2,842 (6.8%)","2,489 (9.5%)",0 (0.0%) in each group,0.24532005363247342,0.14936243833030394
Invasive mechanical ventilation by 12 h,"17,077 (29.2%)","5,730 (13.8%)","4,413 (16.8%)",0 (0.0%) in each group,0.38241863130695314,0.296973506649558
Sex: Female,"26,304 (45.0%)","19,576 (47.0%)","12,197 (46.5%)",Missing retained as category,0.04155850640737374,0.03109007029067683
Sex: Male,"32,179 (55.0%)","22,009 (52.9%)","14,011 (53.4%)",Missing retained as category,0.042680213532737904,0.03165637338389255
Sex: Other/missing,8 (0.0%),29 (0.1%),11 (0.0%),Missing retained as category,0.0274425842881581,0.016957558373437716
Race/ethnicity: African American,"6,394 (10.9%)","3,772 (9.1%)","3,243 (12.4%)",Missing retained as category,0.062280548116746395,0.04481105260531861
