predictor,clinical_domain,data_type,source_table_field,extraction_window,overall_missingness,min_hospital_missingness,max_hospital_missingness,hospitals_completely_unavailable,missingness_indicator_generated,removed_folds,removed_fold_count,retained_all_folds
x_lab_potassium_delta,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.639260740968696,0.16666666666666666,1.0,5,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_sodium_delta,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6772152980800465,0.16666666666666666,1.0,5,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_magnesium_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_phosphate_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
