rank,source_predictor,sum_abs_indicator_shap,sum_abs_value_shap,median_fold_rank,min_fold_rank,max_fold_rank,mean_abs_indicator_shap,mean_abs_value_shap,missingness_fraction_source_shap,overall_missingness
1,x_lab_creatinine_first,930.0429,549.63763,1.0,1,4,0.015900616,0.009396961,0.628543,0.21844386315843464
2,x_lab_inr_first,526.3074,315.85364,3.0,2,4,0.008998091,0.0054000383,0.6249486,0.6473132618693475
3,x_vital_noninvasive_mean_bp_sd,365.98657,558.0844,9.0,1,14,0.0062571433,0.009541373,0.39605895,0.06720692072284624
4,x_lab_chloride_first,184.9032,116.341,20.0,2,29,0.0031612248,0.0019890412,0.6137984,0.22135029320750202
5,x_vital_noninvasive_mean_bp_first,174.81487,1133.5911,9.0,2,27,0.002988748,0.019380607,0.13360904,0.057496025029491714
6,x_vital_noninvasive_diastolic_bp_sd,170.3491,619.85016,7.0,2,27,0.0029123987,0.010597359,0.2155774,0.06732659725427843
7,x_vital_noninvasive_systolic_bp_sd,147.9547,2610.8296,7.0,4,18,0.0025295292,0.044636432,0.0536304,0.0673436939016259
8,x_lab_creatinine_last,126.56093,18499.654,25.0,3,29,0.0021637676,0.31628206,0.0067947744,0.21844386315843464
9,x_lab_calcium_first,113.38297,143.12872,7.0,4,25,0.0019384687,0.0024470212,0.44201875,0.24436238053717665
10,x_lab_phosphate_first,83.33294,70.13576,17.0,4,25,0.0014247139,0.0011990863,0.54299635,0.6746166076832333
11,x_lab_albumin_first,77.07212,41.88801,11.0,6,20,0.0013176749,0.0007161445,0.6478819,0.6220615137371561
12,x_lab_sodium_first,57.207886,181.45557,20.0,6,27,0.0009780631,0.0031022818,0.23970108,0.2119300405190542
13,x_lab_inr_last,53.125187,558.2966,17.0,6,27,0.00090826256,0.009544999,0.086887956,0.6473132618693475
14,x_lab_bun_first,52.41742,3626.9167,23.0,5,27,0.0008961621,0.062008116,0.014246441,0.22256415516917133
15,x_lab_chloride_last,48.727287,641.1397,26.0,5,29,0.0008330732,0.01096134,0.07063287,0.22135029320750202
16,x_vital_sao2_first,45.266647,541.9407,13.0,13,19,0.00077390793,0.009265369,0.07708801,0.024858525243199807
17,x_lab_glucose_serum_first,41.28786,2023.7029,19.0,10,29,0.000705884,0.034598533,0.01999421,0.22266673505325604
18,x_lab_anion_gap_first,41.15908,92.43468,20.0,10,22,0.0007036823,0.0015803231,0.30809137,0.3679198509172351
19,x_lab_inr_min,40.798683,220.7058,11.0,10,25,0.0006975207,0.003773329,0.15601523,0.6473132618693475
20,x_lab_bicarbonate_first,38.75555,180.19,16.0,7,26,0.00066258997,0.0030806449,0.17700998,0.2676822075191055
21,x_lab_magnesium_first,35.69037,778.90265,12.0,11,26,0.00061018567,0.013316624,0.043813743,0.49852114000444514
22,x_lab_hgb_first,30.312037,156.93373,16.0,8,29,0.0005182342,0.0026830407,0.16188368,0.27289668496007935
23,x_lab_bilirubin_total_first,27.703932,76.26881,18.0,9,25,0.00047364435,0.0013039409,0.2664538,0.6516729069429484
24,x_lab_platelets_first,24.351082,351.23013,24.0,13,29,0.00041632185,0.006004858,0.06483573,0.3082696483219641
25,x_lab_calcium_last,21.962101,1471.2095,23.0,14,29,0.0003754783,0.02515275,0.014708357,0.24436238053717665
26,x_lab_anion_gap_min,21.599525,551.0503,25.0,5,29,0.00036927947,0.009421113,0.037718557,0.3679198509172351
27,x_lab_phosphate_min,18.80384,62.38937,25.0,6,29,0.00032148263,0.0010666491,0.23159377,0.6746166076832333
28,x_lab_potassium_first,16.374058,115.63107,20.0,15,27,0.00027994148,0.0019769038,0.12404107,0.1928330854319468
29,x_lab_hct_first,15.706988,182.75964,20.0,11,26,0.00026853685,0.0031245772,0.079141706,0.2735292609119352
30,x_vital_noninvasive_mean_bp_last,14.471025,506.40378,22.0,16,29,0.00024740602,0.008657807,0.027782155,0.057496025029491714
31,x_vital_sao2_sd,14.176764,5545.867,24.0,12,26,0.00024237513,0.09481574,0.0025497575,0.02576464755261493
32,x_vital_noninvasive_systolic_bp_first,12.231966,1216.615,26.0,18,29,0.0002091256,0.020800037,0.009954019,0.05773537809235609
33,x_lab_potassium_last,11.962902,768.34644,22.0,17,29,0.00020452552,0.013136148,0.015330974,0.1928330854319468
34,x_lab_magnesium_last,9.224833,165.48291,24.0,20,27,0.00015771372,0.002829203,0.05280151,0.49852114000444514
35,x_lab_calcium_min,8.506246,426.62476,25.0,15,29,0.00014542828,0.007293853,0.0195487,0.24436238053717665
36,x_lab_potassium_min,7.5002384,232.44649,25.0,17,29,0.00012822893,0.0039740554,0.03125793,0.1928330854319468
37,x_lab_hgb_last,6.700939,367.2447,25.0,16,29,0.00011456359,0.006278653,0.017919555,0.27289668496007935
38,x_vital_sao2_last,5.8329644,715.2168,25.0,18,27,9.972414e-05,0.012227809,0.008089545,0.024858525243199807
39,x_vital_noninvasive_systolic_bp_min,5.7629147,2127.213,25.0,19,29,9.852652e-05,0.03636821,0.002701819,0.05773537809235609
40,x_vital_respiratory_rate_first,5.749749,339.75635,25.0,20,29,9.830143e-05,0.0058086943,0.016641527,0.08864611649655503
41,x_lab_phosphate_last,5.7087107,186.81407,26.0,20,29,9.759981e-05,0.0031938944,0.02965213,0.6746166076832333
42,x_lab_sodium_delta,5.6041303,149.13095,25.0,20,27,9.581184e-05,0.0025496392,0.03621758,0.6772152980800465
43,x_vital_noninvasive_systolic_bp_last,5.318026,2967.3708,25.0,20,27,9.092042e-05,0.050732095,0.0017889615,0.05773537809235609
44,x_lab_wbc_first,5.0956774,565.94885,26.0,15,29,8.7119e-05,0.009675828,0.008923432,0.30965447675710794
45,x_lab_hgb_min,3.990669,184.31226,25.0,20,27,6.822706e-05,0.0031511215,0.021192815,0.27289668496007935
46,x_vital_respiratory_rate_sd,3.4595153,2077.9116,26.0,20,29,5.9146114e-05,0.035525322,0.0016621329,0.08963772204270742
47,x_lab_albumin_min,2.4343746,112.399536,26.0,20,27,4.1619645e-05,0.0019216553,0.021199092,0.6220615137371561
48,x_lab_bilirubin_total_mean,1.0186269,385.0157,26.0,20,28,1.7415105e-05,0.0065824776,0.0026386953,0.6516729069429484
49,x_bmi,0.0,3936.4717,26.0,20,29,0.0,0.06730047,0.0,0.023815629755005042
50,x_lab_albumin_last,0.0,181.9567,26.0,20,29,0.0,0.0031108495,0.0,0.6220615137371561
51,x_lab_anion_gap_mean,0.0,542.0865,26.0,20,29,0.0,0.009267862,0.0,0.3679198509172351
52,x_lab_bicarbonate_last,0.0,480.4876,26.0,20,29,0.0,0.008214727,0.0,0.2676822075191055
53,x_lab_anion_gap_n,0.0,188.97043,26.0,20,29,0.0,0.0032307608,0.0,0.3679198509172351
54,x_lab_albumin_mean,0.0,114.58081,26.0,20,29,0.0,0.0019589476,0.0,0.6220615137371561
55,x_lab_albumin_max,0.0,55.35134,26.0,20,29,0.0,0.00094632234,0.0,0.6220615137371561
56,x_lab_albumin_n,0.0,7.7402153,26.0,20,29,0.0,0.00013233173,0.0,0.6220615137371561
57,x_lab_anion_gap_last,0.0,2873.003,26.0,20,29,0.0,0.049118716,0.0,0.3679198509172351
58,x_lab_bilirubin_total_n,0.0,36.36545,26.0,20,29,0.0,0.0006217273,0.0,0.6516729069429484
59,x_lab_bilirubin_total_min,0.0,215.13669,26.0,20,29,0.0,0.003678116,0.0,0.6516729069429484
60,x_lab_bilirubin_total_max,0.0,362.0637,26.0,20,29,0.0,0.006190075,0.0,0.6516729069429484
61,x_lab_bilirubin_total_last,0.0,388.61774,26.0,20,29,0.0,0.0066440604,0.0,0.6516729069429484
62,x_lab_bicarbonate_min,0.0,508.04282,26.0,20,29,0.0,0.008685829,0.0,0.2676822075191055
63,x_lab_bicarbonate_n,0.0,138.23701,26.0,20,29,0.0,0.0023633896,0.0,0.2676822075191055
64,x_lab_bicarbonate_max,0.0,223.12726,26.0,20,29,0.0,0.003814728,0.0,0.2676822075191055
65,x_lab_bicarbonate_mean,0.0,659.35986,26.0,20,29,0.0,0.011272843,0.0,0.2676822075191055
66,x_lab_anion_gap_max,0.0,211.33887,26.0,20,29,0.0,0.003613186,0.0,0.3679198509172351
67,x_lab_chloride_min,0.0,224.06549,26.0,20,29,0.0,0.0038307686,0.0,0.22135029320750202
68,x_lab_creatinine_mean,0.0,634.12463,26.0,20,29,0.0,0.010841405,0.0,0.21844386315843464
69,x_lab_creatinine_max,0.0,2246.7188,26.0,20,29,0.0,0.038411357,0.0,0.21844386315843464
70,x_lab_hgb_mean,0.0,349.66003,26.0,20,29,0.0,0.0059780143,0.0,0.27289668496007935
71,x_lab_chloride_n,0.0,102.24503,26.0,20,29,0.0,0.0017480473,0.0,0.22135029320750202
72,x_lab_creatinine_min,0.0,1379.7769,26.0,20,29,0.0,0.023589559,0.0,0.21844386315843464
73,x_lab_creatinine_n,0.0,169.64688,26.0,20,29,0.0,0.002900393,0.0,0.21844386315843464
74,x_lab_hct_last,0.0,462.73737,26.0,20,29,0.0,0.007911257,0.0,0.2735292609119352
75,x_lab_glucose_serum_n,0.0,21.986721,26.0,20,29,0.0,0.00037589922,0.0,0.22266673505325604
76,x_lab_glucose_serum_min,0.0,1208.9657,26.0,20,29,0.0,0.020669261,0.0,0.22266673505325604
77,x_lab_glucose_serum_mean,0.0,317.54962,26.0,20,29,0.0,0.005429034,0.0,0.22266673505325604
78,x_lab_glucose_serum_last,0.0,208.80147,26.0,20,29,0.0,0.003569805,0.0,0.22266673505325604
79,x_lab_glucose_serum_max,0.0,1042.2986,26.0,20,29,0.0,0.01781981,0.0,0.22266673505325604
80,x_lab_calcium_mean,0.0,234.1712,26.0,20,29,0.0,0.0040035425,0.0,0.24436238053717665
81,x_lab_calcium_n,0.0,467.37708,26.0,20,29,0.0,0.007990581,0.0,0.24436238053717665
82,x_lab_chloride_mean,0.0,363.67624,26.0,20,29,0.0,0.0062176445,0.0,0.22135029320750202
83,x_lab_chloride_max,0.0,219.70407,26.0,20,29,0.0,0.003756203,0.0,0.22135029320750202
84,x_lab_bun_max,0.0,627.0892,26.0,20,29,0.0,0.010721123,0.0,0.22256415516917133
85,x_lab_calcium_max,0.0,192.23517,26.0,20,29,0.0,0.0032865768,0.0,0.24436238053717665
86,x_lab_bun_min,0.0,4028.9487,26.0,20,29,0.0,0.06888152,0.0,0.22256415516917133
87,x_lab_bun_n,0.0,45.53981,26.0,20,29,0.0,0.00077857805,0.0,0.22256415516917133
88,x_lab_bun_mean,0.0,770.2018,26.0,20,29,0.0,0.013167868,0.0,0.22256415516917133
89,x_lab_bun_last,0.0,1192.0166,26.0,20,29,0.0,0.020379487,0.0,0.22256415516917133
90,x_lab_platelets_mean,0.0,472.58737,26.0,20,29,0.0,0.008079659,0.0,0.3082696483219641
91,x_lab_platelets_max,0.0,352.47107,26.0,20,29,0.0,0.0060260734,0.0,0.3082696483219641
92,x_lab_platelets_last,0.0,489.3911,26.0,20,29,0.0,0.008366947,0.0,0.3082696483219641
93,x_lab_phosphate_n,0.0,1.8564229,26.0,20,29,0.0,3.1738608e-05,0.0,0.6746166076832333
94,x_lab_phosphate_max,0.0,535.86945,26.0,20,29,0.0,0.009161571,0.0,0.6746166076832333
95,x_lab_phosphate_mean,0.0,181.51848,26.0,20,29,0.0,0.0031033575,0.0,0.6746166076832333
96,x_lab_magnesium_n,0.0,21.370934,26.0,20,29,0.0,0.00036537132,0.0,0.49852114000444514
97,x_lab_magnesium_min,0.0,1430.9183,26.0,20,29,0.0,0.024463907,0.0,0.49852114000444514
98,x_lab_magnesium_max,0.0,184.31519,26.0,20,29,0.0,0.0031511718,0.0,0.49852114000444514
99,x_lab_magnesium_mean,0.0,489.85715,26.0,20,29,0.0,0.0083749145,0.0,0.49852114000444514
100,x_lab_hct_min,0.0,537.0886,26.0,20,29,0.0,0.009182415,0.0,0.2735292609119352
101,x_lab_hct_n,0.0,709.0495,26.0,20,29,0.0,0.012122369,0.0,0.2735292609119352
102,x_lab_hgb_n,0.0,260.16544,26.0,20,29,0.0,0.0044479566,0.0,0.27289668496007935
103,x_lab_inr_max,0.0,1252.3713,26.0,20,29,0.0,0.021411352,0.0,0.6473132618693475
104,x_lab_inr_mean,0.0,732.1085,26.0,20,29,0.0,0.012516601,0.0,0.6473132618693475
105,x_lab_inr_n,0.0,1615.1385,26.0,20,29,0.0,0.027613454,0.0,0.6473132618693475
106,x_lab_hct_mean,0.0,253.09546,26.0,20,29,0.0,0.004327084,0.0,0.2735292609119352
107,x_lab_hct_max,0.0,552.17474,26.0,20,29,0.0,0.009440337,0.0,0.2735292609119352
108,x_lab_hgb_max,0.0,346.75308,26.0,20,29,0.0,0.005928315,0.0,0.27289668496007935
109,x_lab_wbc_max,0.0,965.4409,26.0,20,29,0.0,0.016505802,0.0,0.30965447675710794
110,x_lab_sodium_n,0.0,17.68061,26.0,20,29,0.0,0.00030227916,0.0,0.2119300405190542
111,x_lab_wbc_last,0.0,822.83875,26.0,20,29,0.0,0.014067784,0.0,0.30965447675710794
112,x_lab_potassium_delta,0.0,1776.3936,26.0,20,29,0.0,0.030370373,0.0,0.639260740968696
113,x_lab_platelets_n,0.0,44.34874,26.0,20,29,0.0,0.00075821474,0.0,0.3082696483219641
114,x_lab_potassium_mean,0.0,126.841415,26.0,20,29,0.0,0.002168563,0.0,0.1928330854319468
115,x_lab_potassium_max,0.0,115.26962,26.0,20,29,0.0,0.0019707242,0.0,0.1928330854319468
116,x_lab_potassium_n,0.0,83.24406,26.0,20,29,0.0,0.0014231943,0.0,0.1928330854319468
117,x_lab_sodium_last,0.0,174.01962,26.0,20,29,0.0,0.002975152,0.0,0.2119300405190542
118,x_lab_sodium_max,0.0,205.2672,26.0,20,29,0.0,0.0035093809,0.0,0.2119300405190542
119,x_lab_sodium_mean,0.0,285.08688,26.0,20,29,0.0,0.00487403,0.0,0.2119300405190542
120,x_lab_sodium_min,0.0,282.64658,26.0,20,29,0.0,0.0048323087,0.0,0.2119300405190542
121,x_lab_platelets_min,0.0,2122.7756,26.0,20,29,0.0,0.036292348,0.0,0.3082696483219641
122,x_vital_noninvasive_diastolic_bp_max,0.0,197.20761,26.0,20,29,0.0,0.003371589,0.0,0.05771828144500863
123,x_vital_noninvasive_diastolic_bp_last,0.0,441.7107,26.0,20,29,0.0,0.007551772,0.0,0.05771828144500863
124,x_vital_noninvasive_diastolic_bp_first,0.0,1192.2842,26.0,20,29,0.0,0.020384062,0.0,0.05771828144500863
125,x_vital_heart_rate_sd,0.0,2473.982,26.0,20,29,0.0,0.042296797,0.0,0.015472465849446924
126,x_vital_heart_rate_n,0.0,313.81946,26.0,20,29,0.0,0.0053652604,0.0,0.015352789318014738
127,x_vital_heart_rate_min,0.0,536.2983,26.0,20,29,0.0,0.009168902,0.0,0.015352789318014738
128,x_vital_heart_rate_mean,0.0,1759.467,26.0,20,29,0.0,0.030080987,0.0,0.015352789318014738
129,x_vital_heart_rate_max,0.0,527.59344,26.0,20,29,0.0,0.009020079,0.0,0.015352789318014738
130,x_vital_heart_rate_last,0.0,4302.7363,26.0,20,29,0.0,0.07356237,0.0,0.015352789318014738
131,x_vital_heart_rate_first,0.0,364.77734,26.0,20,29,0.0,0.00623647,0.0,0.015352789318014738
132,x_lab_wbc_n,0.0,95.41522,26.0,20,29,0.0,0.0016312804,0.0,0.30965447675710794
133,x_lab_wbc_min,0.0,703.4066,26.0,20,29,0.0,0.012025895,0.0,0.30965447675710794
134,x_lab_wbc_mean,0.0,696.0106,26.0,20,29,0.0,0.011899448,0.0,0.30965447675710794
135,x_vital_noninvasive_mean_bp_max,0.0,275.65347,26.0,20,29,0.0,0.00471275,0.0,0.057496025029491714
136,x_vital_noninvasive_mean_bp_mean,0.0,570.21857,26.0,20,29,0.0,0.009748826,0.0,0.057496025029491714
137,x_vital_noninvasive_diastolic_bp_mean,0.0,487.77875,26.0,20,29,0.0,0.008339381,0.0,0.05771828144500863
138,x_vital_noninvasive_systolic_bp_mean,0.0,463.3713,26.0,20,29,0.0,0.007922096,0.0,0.05773537809235609
139,x_vital_noninvasive_systolic_bp_max,0.0,1099.0183,26.0,20,29,0.0,0.018789528,0.0,0.05773537809235609
140,x_vital_noninvasive_mean_bp_n,0.0,1698.3749,26.0,20,29,0.0,0.029036516,0.0,0.057496025029491714
141,x_vital_noninvasive_mean_bp_min,0.0,506.58704,26.0,20,29,0.0,0.0086609395,0.0,0.057496025029491714
142,x_vital_noninvasive_diastolic_bp_n,0.0,353.91238,26.0,20,29,0.0,0.006050715,0.0,0.05771828144500863
143,x_vital_noninvasive_diastolic_bp_min,0.0,299.44562,26.0,20,29,0.0,0.005119516,0.0,0.05771828144500863
144,x_vital_noninvasive_systolic_bp_n,0.0,537.13226,26.0,20,29,0.0,0.009183161,0.0,0.05773537809235609
